id,log2FoldChange,padj,KEGG_Module,COG,exp
SMc02793,0.2288662537184273,0.2433921144347081,NA,S,0
SMc02792,0.3220589623535343,0.21891786678372066,M00022,D,0
SMc02791,0.5830579056355127,0.0009886075106375243,M00022,E,0
SMc02790,0.15241615682463155,0.6215744405879761,M00120,H,0
SMc02789,-0.11226896828444533,0.6338600505675362,M00260,L,0
SMc02788,0.9647015437250388,0.00019126893756167223,M00335,U,0
SMc02787,0.3540994891879878,0.19034423913242168,NA,S,0
SMc02786,0.4770445663947159,0.07330227604980932,NA,S,0
SMc02785,0.20105349511863585,0.2425443545914552,NA,M,0
SMc02784,0.009401544191428472,0.9823877352101916,NA,S,0
SMc02783,-0.0742814320649332,0.8471979952639563,NA,K,0
SMc02782,0.20881882522359088,0.07146973561146569,NA,L,0
SMc02781,0.08553182364817764,0.7100626294720517,NA,C,0
SMc02780,-0.19285437288017526,0.3433586173025301,M00027,C,0
SMc02779,-0.00385272460396798,0.9939667634031208,NA,L,0
SMc02778,0.07662067563337102,0.8414224773297997,NA,G,0
SMc02777,0.115902125163534,0.7433594895345423,NA,K,0
SMc02776,-0.11962780893402887,0.5562351726727881,M00631,G,0
SMc02775,-0.256311150565462,0.3575316088367964,M00114,C,0
SMc02774,-0.19262632064824947,0.4800309653776756,M00212,G,0
SMc02773,-0.03195739166210458,0.94231172850852,M00212,G,0
SMc02772,-0.22356852129664528,0.4492345373083031,M00212,G,0
SMc02771,-0.4215474839847556,0.1835029509025866,NA,E,0
SMc02770,-0.6827688153912986,6.244641290129376e-07,NA,I,0
SMc02769,0.26419156859095044,0.3575316088367964,NA,S,0
SMc02768,-0.03085506198066288,0.9092466443242396,NA,S,0
SMc02767,0.18367947696883474,0.4363686141941015,M00023,E,0
SMc02766,0.2552185025297817,0.04077998491142062,M00023,E,0
SMc02765,0.3402974137105196,0.08877662640903318,M00023,E,0
SMc02764,0.4257353931197755,0.004789038168839937,M00082,I,0
SMc02763,0.2392035229690601,0.1005453580789704,M00126,H,0
SMc02762,-0.04335490415980253,0.9165591471454598,NA,L,0
