id,log2FoldChange,padj,KEGG_Module,COG,exp
SMc02793,0.1703256111475956,0.2673567422289966,NA,S,0
SMc02792,-0.011749850150972149,0.9595450454642326,M00022,D,0
SMc02791,0.03798931633311673,0.8563022715576226,M00022,E,0
SMc02790,0.0045110697492651616,NA,M00120,H,0
SMc02789,-0.06204372994979712,0.7577535403436624,M00260,L,0
SMc02788,0.29716716424785017,0.09051567504108007,M00335,U,0
SMc02787,0.16716563380030508,0.294118839077128,NA,S,0
SMc02786,0.08280353661088911,0.6572141437749691,NA,S,0
SMc02785,-0.09531343211632824,0.5692010718110452,NA,M,0
SMc02784,-0.3092903131976477,0.07503221813526031,NA,S,0
SMc02783,-0.06481740698121599,NA,NA,K,0
SMc02782,-0.053210691269609735,0.7268881356819391,NA,L,0
SMc02781,0.03632486445404615,0.8619764888591238,NA,C,0
SMc02780,-0.0628487898316437,0.7490532694736202,M00027,C,0
SMc02779,-0.0216888042610963,0.9270372851331056,NA,L,0
SMc02778,0.062103473655924925,0.7490483504607045,NA,G,0
SMc02777,0.005174612804410537,NA,NA,K,0
SMc02776,-0.1611287521645725,0.2810208695748884,M00631,G,0
SMc02775,-0.03321900254503992,NA,M00114,C,0
SMc02774,-0.04245663856175688,0.8421539730462717,M00212,G,0
SMc02773,0.05427065481121105,NA,M00212,G,0
SMc02772,0.009626759683442251,NA,M00212,G,0
SMc02771,-0.02557914166012713,NA,NA,E,0
SMc02770,-0.27281368821805513,0.042841089411847305,NA,I,0
SMc02769,-0.04202029491059914,0.8419980440389441,NA,S,0
SMc02768,-0.6287911478915537,0.00013986603275054825,NA,S,0
SMc02767,-0.07655183892006544,0.6966437104959716,M00023,E,0
SMc02766,-0.1415011890311335,0.2810208695748884,M00023,E,0
SMc02765,-0.017778263612976658,0.9438239769488579,M00023,E,0
SMc02764,0.008064845805206724,0.9641030025521647,M00082,I,0
SMc02763,-0.07083546744998694,0.6851043817089895,M00126,H,0
SMc02762,0.012891041000733074,0.9553669701450008,NA,L,0
SMc02761,-0.09725005961350099,0.5843113837301105,NA,O,0
SMc02760,-0.17137602250817527,0.24884967018073514,NA,L,0
SMc02759,-0.16897237423762146,0.2522518505327208,M00154,L,0
SMc02758,-0.17298693876086485,0.2617293551907396,M00114,JM,0
SMc02757,-0.2389777584512601,0.11773817099697073,NA,S,0
SMc02756,-0.08306212279908384,0.5858195339242694,NA,T,0
SMc02755,0.009603868436647863,0.9609785589447828,M00035,H,0
SMc02754,0.010943034216758836,0.9595450454642326,NA,G,0
SMc02753,0.0024530899812690594,0.9865267804914152,M00276,G,0
SMc02752,-0.012997613896886126,NA,NA,T,0
SMc04446,0.027327153769518,0.9106605184606656,NA,T,0
SMc02560,-0.2683824867976665,0.054084698154641474,NA,T,0
SMc02562,-0.15855056192648112,0.30082914776589803,M00003,C,0
SMc02563,-0.07575837582685001,NA,NA,J,0
SMc02564,0.015431446894956525,0.9501948695329224,NA,S,0
SMc02566,-0.08502273852286542,NA,NA,L,0
SMc02567,0.023808909413216364,0.9218014710036738,M00120,F,0
SMc02568,0.05441308010386922,NA,M00026,E,0
SMc02569,-0.03249467756757314,0.8954696271090746,M00023,E,0
SMc02570,-0.010857778777621657,0.9595450454642326,M00026,E,0
SMc02572,-0.043226705046226034,0.8399986244415535,M00026,E,0
SMc02573,0.0196644373116641,NA,NA,S,0
SMc02574,0.06266151935131936,0.7546446215260914,M00026,E,0
SMc02575,0.08870859225166969,0.6041232938205819,NA,O,0
SMc02576,-0.01396108931401299,0.9546051902251924,M00135,J,0
SMc02577,-0.2317934029682023,0.13805656378259115,NA,O,0
SMc02578,-0.054198850255589216,0.8036039784741585,NA,M,0
SMc02579,-0.00032535707737062414,0.9984564726484172,NA,Q,0
SMc02580,-0.1376670825212932,0.3913939174250264,NA,EQ,0
SMc02581,-0.015836927545299643,0.9387983041064693,M00012,C,0
SMc02582,0.13332007021538314,0.39817458909095016,NA,S,0
SMc02583,-0.0369411107179664,NA,NA,S,0
SMc02584,-0.11561095468308485,0.44280651465369947,M00523,T,0
SMc02585,0.13025879776301236,0.4072551434496721,M00518,T,0
SMc02586,-0.014141322285050634,0.9536468623617222,NA,L,0
SMc02587,-0.09202659727509914,NA,M00192,S,0
SMc02588,-0.091736449152391,NA,M00192,P,0
SMc02589,-0.03389093016754788,0.8876744253973421,M00192,S,0
SMc02590,-0.03961854634184698,0.8557847409062498,NA,NA,0
SMc02591,-0.06534380633503246,NA,NA,NA,0
SMc02592,-0.0241910875902818,NA,NA,NA,0
SMc02593,-0.04616077717759212,0.8286132987374244,NA,NA,0
SMc02594,0.03902322984771143,NA,NA,H,0
SMc02595,0.07545752716660821,NA,M00017,E,0
SMc02596,0.11170350668782376,NA,NA,K,0
SMc04463,0.00037520935975361225,0.9984564726484172,NA,G,0
SMc02600,0.04352496452489801,0.8362736432100368,NA,T,0
SMc02604,-0.051716143174793006,NA,M00140,H,0
SMc02605,0.021518969051533002,NA,NA,E,0
SMc02606,-0.03836947068251746,NA,M00532,E,0
SMc02608,-0.025284524893226856,NA,NA,E,0
SMc02609,-0.0005432669894298182,NA,NA,K,0
SMc02610,-0.058406695507684174,0.7763200917860775,NA,F,0
SMc02611,-0.06688024591179069,0.7329601403296633,NA,C,0
SMc02612,-0.07046475680502585,0.7092532734752856,NA,E,0
SMc02613,-0.12720057859028366,0.42483276876640863,NA,E,0
SMc02615,-0.11864598608673538,NA,NA,NA,0
SMc02616,-0.13359206904837712,NA,NA,P,0
SMc02618,-0.013596081819840613,NA,NA,NA,0
SMc02619,-0.040123659468455135,NA,NA,NA,0
SMc02620,-0.03359949337359707,0.8882686756044897,NA,K,0
SMc04154,-0.002657808097413061,NA,NA,F,0
SMc04153,-0.005041078446399189,0.9777177953669208,M00532,E,0
SMc04152,-0.05086743253802372,NA,NA,NA,0
SMc04151,-0.07098197324764119,NA,NA,C,0
SMc04150,-0.07962042792171044,NA,NA,S,0
SMc04149,-0.10109582992118987,NA,NA,P,0
SMc04148,0.034601224625569214,0.8834676355855651,M00532,E,0
SMc04147,-0.02807306921565368,NA,NA,E,0
SMc04146,-0.01407771316742599,0.9535727232649394,NA,G,0
SMc04145,-0.02790246011223841,NA,M00004,GM,0
SMc04144,-0.004814644653572902,NA,M00019,EG,0
SMc04143,0.05806913880955794,0.7785941070821721,NA,K,0
SMc04142,-0.06884669762095796,NA,NA,G,0
SMc04141,-0.018618962002565288,NA,NA,O,0
SMc04140,-0.05456523315405915,NA,M00194,P,0
SMc04139,-0.03164440450736943,NA,NA,S,0
SMc04138,-0.001536112747318758,NA,NA,S,0
SMc04137,-0.06306686415232289,NA,M00207,P,0
SMc04136,-0.024788255168961708,NA,M00196,P,0
SMc04135,0.049916919026171534,NA,M00207,G,0
SMc04134,-0.025669602870967416,NA,NA,K,0
SMc04133,-0.0070744524730160015,NA,NA,S,0
SMc04132,-0.0246731399964078,NA,NA,EM,0
SMc04131,-0.028924138932019724,NA,NA,M,0
SMc04130,-0.00308669660377327,NA,NA,G,0
SMc04129,0.005123357397002256,NA,NA,S,0
SMc04128,0.15449894470864575,0.32054868262889186,NA,P,0
SMc04127,0.05324511359376933,0.7983926272748634,M00221,S,0
SMc04126,-0.2074182407878624,0.18153188122695613,M00221,S,0
SMc04125,-0.18140603953389808,0.26122949799557305,M00221,S,0
SMc04124,0.033461966686055784,0.8888401964247119,NA,F,0
SMc04123,-0.04836105047636773,0.82574935975583,NA,F,0
SMc04122,-0.06786282493287016,0.7323150419758743,NA,F,0
SMc04121,-0.009036835118198592,0.9641030025521647,NA,F,0
SMc04120,-0.06557016641416913,0.7411209009840732,NA,F,0
SMc04119,-0.02125254232150224,0.9295514233140773,NA,G,0
SMc04118,0.02826692195021918,0.9095533557702552,NA,U,0
SMc04117,0.02934592584222295,0.9057195950530341,NA,U,0
SMc04115,-0.0019528830431060895,0.9876824036466464,NA,U,0
SMc04114,0.7208775197757799,0.0008263576371762223,NA,U,0
SMc04113,0.0921992771421582,NA,NA,OU,0
SMc04112,-0.14336534216800387,0.36913497227005226,NA,U,0
SMc04111,-0.06191593764951105,0.7585171549646931,NA,U,0
SMc04110,-0.012032493077812505,NA,NA,N,0
SMc04109,-0.09844529607282647,0.5718036156170333,NA,U,0
SMc02820,-0.10311215674561756,0.5610150603459579,NA,U,0
SMc02821,-0.1181586103586984,NA,NA,U,0
SMc02822,-0.1042856590539784,NA,NA,NU,0
SMc02824,-0.0784210249925956,0.685530142763728,NA,U,0
SMc02825,-0.3122079680542706,0.02223653121553805,NA,E,0
SMc02826,-0.02736930655824134,NA,NA,K,0
SMc02827,0.001453141386716496,0.9894149573546752,NA,M,0
SMc02828,-0.2339155698421511,0.11022401433325674,NA,EH,0
SMc02829,-0.15370374323679006,0.2442234790698241,M00239,P,0
SMc02830,-0.13236310456082334,0.4069526259313031,M00239,P,0
SMc02831,-0.07131016340202646,0.6987851813821864,M00239,P,0
SMc02832,-0.015422948517907669,0.9503748346246884,M00239,E,0
SMc02833,-0.08831344144365552,0.6291222634354292,NA,M,0
SMc02834,-0.03639715846030758,NA,NA,G,0
SMc02835,-0.15582111206951724,0.3185321295875526,M00001,F,0
SMc02836,-0.016203178490095175,0.9487032988030388,NA,V,0
SMc02837,-0.07621655929059094,0.6934203632659471,M00016,E,0
SMc02838,0.05400999642918377,0.79559803168215,M00001,G,0
SMc02937,0.012944128285054837,NA,NA,L,0
SMc02839,-0.03922366767219576,0.8557847409062498,NA,L,0
SMc02840,-0.007605113171930128,0.9534851364841328,NA,L,0
SMc02841,-0.09540021768135327,0.5925472384087026,NA,KL,0
SMc02842,-0.04634075527503796,0.8286132987374244,NA,S,0
SMc02843,0.05339695140984752,0.7763200917860775,NA,L,0
SMc02844,-0.006270743507752218,NA,NA,K,0
SMc02845,0.051178934612364536,NA,NA,E,0
SMc02846,-0.18942038352267251,0.21768476580057414,NA,G,0
SMc02847,-0.008336126458693619,NA,NA,S,0
SMc02848,-0.09855944037825466,0.5843113837301105,M00651,S,0
SMc02849,0.025192368393996654,0.9158813264052416,NA,CH,0
SMc02850,-0.033750513050295305,0.8327497513229171,NA,L,0
SMc02851,-0.03656746956197348,0.8674499760926581,NA,K,0
SMc02852,-0.14412410115647833,0.3185321295875526,NA,E,0
SMc02853,-0.028517509000890562,NA,M00726,S,0
SMc02854,-0.1645939988905925,0.30169104006445674,NA,NA,0
SMc02855,-0.010076199122741094,NA,NA,EG,0
SMc02856,-0.033028083104000204,0.8899822076555001,NA,M,0
SMc02857,-0.02488232849405744,0.9189797275741484,NA,O,0
SMc02858,-0.00851734874977772,0.9641030025521647,NA,O,0
SMc02859,-0.026696492337963645,NA,NA,S,0
SMc02860,0.06618169993391088,0.7407903775147958,NA,S,0
SMc02861,0.015173505590654297,NA,NA,P,0
SMc02862,0.02416531135672236,0.9204699628733326,NA,P,0
SMc02863,0.029357280433175217,0.9043850898650576,NA,L,0
SMc02864,-0.05880082554966115,NA,NA,H,0
SMc02865,0.02831723813574677,NA,NA,K,0
SMc02866,0.02678291082244536,0.9134276781244668,M00647,K,0
SMc02867,-0.1448894724116422,0.3250189345662656,M00647,V,0
SMc02868,0.18040447992098368,0.2624626202088649,M00646,M,0
SMc02869,-0.08456159807142231,0.6295651866909121,M00194,P,0
SMc02870,-0.02033626244171697,0.9261947480379276,NA,S,0
SMc02871,0.0036225670437704813,0.9856697321687066,M00196,G,0
SMc02872,-0.06025098564188192,0.7675689065209249,M00196,G,0
SMc02873,-0.048895758245410835,0.8122757033602019,M00196,G,0
SMc02874,0.12996678368373446,0.4147836793101235,NA,S,0
SMc02875,0.1120868890947918,0.509086350942026,NA,G,0
SMc02876,0.03878578735087925,0.8581784275728636,NA,K,0
SMc02877,-0.06374510437628421,0.7440573035270908,NA,M,0
SMc02878,-0.10605310057753152,0.5367170622576857,NA,G,0
SMc02879,-0.2173078234048464,NA,NA,P,0
SMc02880,-0.09289494046689133,NA,NA,GK,0
SMc02881,-0.027669824546530386,0.9106605184606656,NA,J,0
SMc02882,-0.012360031874060222,0.9590039948622946,NA,E,0
SMc02883,0.010632970205429429,NA,NA,S,0
SMc02884,-0.12690523701664605,0.34502507919147546,NA,S,0
SMc02885,-0.007644122112051673,0.9672070813732632,NA,O,0
SMc02886,0.08972267662895395,0.6259522386034587,NA,NA,0
SMc02887,0.1070111896807106,NA,NA,K,0
SMc05001,0.011533730315074795,0.9595450454642326,NA,S,0
SMc02888,-0.09963720905490372,0.4888680277619069,NA,K,0
SMc02889,0.030535732277258032,NA,NA,EGP,0
SMc02890,0.17442329911248286,0.2789658679297138,NA,P,0
SMc02891,0.02040705173684897,NA,NA,CH,0
SMc02892,-0.013625162330906708,NA,NA,EGP,0
SMc02893,0.1162805198707726,0.4865416027887573,NA,K,0
SMc02894,0.012734457462632876,NA,NA,S,0
SMc02895,-0.051371170028794086,NA,NA,S,0
SMc02896,-0.1625376638077706,0.30082914776589803,M00019,E,0
SMc02897,-0.2614615928123333,0.053273514321922316,M00595,C,0
SMc02898,-0.03152457483769585,0.9006221797758124,M00063,M,0
SMc02899,0.08738992797628503,0.6259522386034587,M00022,E,0
SMc02901,-0.011428177573582757,NA,NA,E,0
SMc02902,-0.020335085147595588,NA,NA,K,0
SMc02903,-0.027908240995587457,0.9014795976959262,NA,L,0
SMc02904,0.008011404562610845,0.9672070813732632,NA,FG,0
SMc02905,0.06533769777623996,0.7224450158443723,M00260,L,0
SMc02906,-0.03941765307191967,0.8550729944509862,NA,S,0
SMc02907,-0.05872136177865279,0.7707704647612958,NA,E,0
SMc02908,-0.0750668577529275,0.700315623060914,NA,L,0
SMc02909,-0.034878616500534074,0.8834676355855651,NA,M,0
SMc02910,0.06716586274536628,0.7341824125900103,NA,EGP,0
SMc02911,0.4020864422282772,0.013717173995147531,NA,S,0
SMc02912,-0.06200924937283241,0.7273979825130202,NA,K,0
SMc02913,-0.15819061895307368,0.2568978780789885,NA,K,0
SMc02914,-0.03282482791008657,0.8613042035202081,NA,J,0
SMc00320,0.05877343377452832,NA,NA,J,0
SMc00321,-0.023449158492629983,NA,NA,J,0
SMc00322,0.08083962282413787,0.6555602535453044,NA,T,0
SMc00323,-0.011021744681881359,0.9595450454642326,M00178,J,0
SMc00324,0.20292009022343527,0.12757207489107644,M00394,J,0
SMc00325,-0.007924724853796321,NA,NA,J,0
SMc00326,-0.0058804296270367476,0.9742373167349428,M00083,I,0
SMc00327,-0.08791561960164945,0.5361318892875363,M00083,IQ,0
SMc00328,-0.035468655098200075,0.8619764888591238,M00083,I,0
SMc00329,0.2437486606221596,0.09581691367000668,NA,K,0
SMc00330,-0.07519104610031703,NA,NA,S,0
SMc00331,-0.03796496118260997,NA,NA,S,0
SMc00332,0.06825971192915985,0.7322337757493923,NA,S,0
SMc00333,0.005017558202294413,0.9777177953669208,M00022,E,0
SMc00334,0.013048689416274378,NA,M00022,F,0
SMc00335,0.2273610421995381,0.07614631383977424,M00096,J,0
SMc00336,-0.0001786235058845678,0.9986246542962548,NA,NA,0
SMc00337,-0.01399320163824418,NA,NA,NA,0
SMc00338,0.27854496461512795,0.10063142606891427,NA,S,0
SMc00339,-0.04460790180995342,0.8224782963512576,M00695,T,0
SMc00340,-0.2541188300139732,0.10416044370913648,NA,EH,0
SMc00341,-0.08208674314616797,NA,NA,NA,0
SMc00342,-0.013065069242115444,NA,NA,J,0
SMc00343,0.011894075975072669,NA,NA,L,0
SMc00344,-0.02084750606413916,NA,NA,L,0
SMc00345,0.042492570738545225,0.8419980440389441,NA,O,0
SMc00346,-0.007700584136203782,NA,NA,S,0
SMc00347,-0.0382342822939037,0.8613961889872845,NA,K,0
SMc00348,0.017689449859235876,NA,NA,S,0
SMc00349,0.05248649033758662,0.7411209009840732,NA,M,0
SMc00350,0.013836358624412149,NA,NA,EGP,0
SMc00351,0.11560665094642485,NA,NA,K,0
SMc00352,0.01737098077779008,NA,M00026,M,0
SMc00353,-0.2907942081052361,0.0979080414525235,NA,S,0
SMc00354,-0.05871814381650345,0.7637865737393481,NA,M,0
