id,log2FoldChange,padj,KEGG_Module,COG,exp
SMc02793,0.0005926082673010037,0.9997364954181752,NA,S,0
SMc02792,-0.0020599958753635627,0.9997364954181752,M00022,D,0
SMc02791,-0.0010484629734166056,0.9997364954181752,M00022,E,0
SMc02790,0.00043234165068330095,0.9997364954181752,M00120,H,0
SMc02789,-0.0007781584213570066,0.9997364954181752,M00260,L,0
SMc02788,0.0026028510984499012,0.9997364954181752,M00335,U,0
SMc02787,0.0002771272381524441,0.9997364954181752,NA,S,0
SMc02786,0.0002755887742027868,0.9997364954181752,NA,S,0
SMc02785,-0.002366999691708354,0.9997364954181752,NA,M,0
SMc02784,-0.002513202631214005,0.9997364954181752,NA,S,0
SMc02783,-0.0008044785621090387,0.9997364954181752,NA,K,0
SMc02782,-0.0005647622674165521,0.9997364954181752,NA,L,0
SMc02781,0.001780517833020748,0.9997364954181752,NA,C,0
SMc02780,0.0002104928446694169,0.9997364954181752,M00027,C,0
SMc02779,-0.0011442172573128565,0.9997364954181752,NA,L,0
SMc02778,-0.0016654570678866106,0.9997364954181752,NA,G,0
SMc02777,-0.0028819627060239685,0.9997364954181752,NA,K,0
SMc02776,0.0006583577884011424,0.9997364954181752,M00631,G,0
SMc02775,0.0019240356680289984,0.9997364954181752,M00114,C,0
SMc02774,0.0014464259649256696,0.9997364954181752,M00212,G,0
SMc02773,0.009714271235136369,0.9997364954181752,M00212,G,0
SMc02772,0.0032440411602154963,0.9997364954181752,M00212,G,0
SMc02771,0.00022504440262313018,0.9997364954181752,NA,E,0
SMc02770,-0.0017321769970364994,0.9997364954181752,NA,I,0
SMc02769,0.004062169121972607,0.9997364954181752,NA,S,0
SMc02768,-0.0011269896468046985,0.9997364954181752,NA,S,0
SMc02767,0.0009873153684244258,0.9997364954181752,M00023,E,0
SMc02766,-0.0004513679640343163,0.9997364954181752,M00023,E,0
SMc02765,0.0002629677442072033,0.9997364954181752,M00023,E,0
