id,log2FoldChange,padj,KEGG_Module,COG,exp
SMc02793,0.372997286552495,0.04734708554712588,NA,S,0
SMc02792,0.29343434696679155,0.2879616839316562,M00022,D,0
SMc02791,0.4305964185289993,0.018677921182154226,M00022,E,0
SMc02790,0.1701597453846618,0.6029967030497455,M00120,H,0
SMc02789,-0.02661017239325973,0.9322711069961388,M00260,L,0
SMc02788,0.9305871014028624,0.0002584260865621981,M00335,U,0
SMc02787,0.17642459838467453,0.5805160672628914,NA,S,0
SMc02786,0.5619598721814157,0.04160550004250118,NA,S,0
SMc02785,0.08773917103163134,0.6985849436172415,NA,M,0
SMc02784,-0.039387430741490495,0.9076963516539458,NA,S,0
SMc02783,-0.11592675827292087,0.7496992543174821,NA,K,0
SMc02782,0.20734787517992306,0.08532042068818609,NA,L,0
SMc02781,0.13450476625773816,0.5475669381885235,NA,C,0
SMc02780,-0.3222323067091021,0.09313837701262916,M00027,C,0
SMc02779,0.014212384546325391,0.9717679177786752,NA,L,0
SMc02778,0.12606009445477093,0.7260728512781162,NA,G,0
SMc02777,0.08732753220222983,0.8299792508702948,NA,K,0
SMc02776,-0.3084063491300539,0.07511165713251675,M00631,G,0
SMc02775,-0.11898530290087307,0.7311191539118069,M00114,C,0
SMc02774,-0.15352536758309185,0.6218848282972373,M00212,G,0
SMc02773,-0.0373818571237004,0.9275649798942778,M00212,G,0
SMc02772,-0.35959712628640705,0.2220321628243302,M00212,G,0
SMc02771,-0.24242600214123675,0.4775136676926922,NA,E,0
SMc02770,-0.657765948425297,1.8730243971468941e-06,NA,I,0
SMc02769,0.2435101395378497,0.4298408086857332,NA,S,0
SMc02768,-0.04201650424671997,0.8727919557243203,NA,S,0
SMc02767,0.1007309625265942,0.7306497858842118,M00023,E,0
SMc02766,0.2614898731021797,0.041951762424431945,M00023,E,0
SMc02765,0.1659334557084865,0.4951178515363399,M00023,E,0
SMc02764,0.4507574870777264,0.002808468826931662,M00082,I,0
SMc02763,0.10917941456135773,0.5630511304819986,M00126,H,0
SMc02762,-0.04891546178876719,0.899622689783033,NA,L,0
SMc02761,0.5873499051226455,0.0021731667372483767,NA,O,0
SMc02760,-0.19673785402508803,0.2949058348641806,NA,L,0
SMc02759,0.1316013822653403,0.5192789277123344,M00154,L,0
SMc02758,0.0762679471557004,0.7758723968672969,M00114,JM,0
SMc02757,-0.5075082623257867,0.005655588934419297,NA,S,0
SMc02756,-0.13437519380841095,0.4074969214082028,NA,T,0
SMc02755,0.14103837906728284,0.5133114937570711,M00035,H,0
SMc02754,0.2639024715465221,0.3838625491050793,NA,G,0
SMc02753,0.23308074088989225,0.28286319521969017,M00276,G,0
SMc02752,-0.28957515251252564,0.4408097576462804,NA,T,0
SMc04446,0.030656604568978518,0.9245468250046458,NA,T,0
SMc02560,-0.3891289358211688,0.010417006395545532,NA,T,0
SMc02562,-0.02046061531752989,0.9497459259836344,M00003,C,0
SMc02563,0.0008190305195296997,0.9979253150949541,NA,J,0
SMc02564,0.02019519443569996,0.9467730307858212,NA,S,0
SMc02566,-0.1307698398800338,0.732008849873402,NA,L,0
SMc02567,0.29046010223200996,0.2468203347706393,M00120,F,0
SMc02568,0.4648169542457622,0.12890162494776486,M00026,E,0
SMc02569,0.3206343159242513,0.19856653856692466,M00023,E,0
SMc02570,0.3451374282129075,0.17731587216933853,M00026,E,0
SMc02572,0.29816106582712826,0.2707476806314254,M00026,E,0
SMc02573,0.3382236081959189,0.28052936607482976,NA,S,0
SMc02574,0.3653675234734615,0.05973509399285783,M00026,E,0
SMc02575,1.6755668843582547,2.8000912662022084e-05,NA,O,1
SMc02576,1.3573664189872623,4.0386827249306546e-07,M00135,J,1
SMc02577,0.7245507755184722,0.00021559587937489385,NA,O,0
SMc02578,0.24354292880864944,0.2977120630680952,NA,M,0
SMc02579,-0.3864371771193216,0.13628558635385166,NA,Q,0
SMc02580,-0.16610220684431382,0.5355473996391652,NA,EQ,0
SMc02581,0.39162727813652143,0.0011208588816376524,M00012,C,0
SMc02582,0.9228468312268856,5.252911765218892e-07,NA,S,0
SMc02583,-0.29820223010092145,0.3514445062051512,NA,S,0
SMc02584,-0.2060574418773452,0.23623236540936435,M00523,T,0
SMc02585,-0.4193863654860407,0.025482015023490658,M00518,T,0
SMc02586,0.1613476840823924,0.5941615945839979,NA,L,0
SMc02587,-0.10623381148027802,0.7822757191681714,M00192,S,0
SMc02588,-0.6318781014380608,0.08625137946651408,M00192,P,0
SMc02589,-0.2032165104206627,0.4394289453217712,M00192,S,0
SMc02590,-0.1692349001197157,0.5479155575020818,NA,NA,0
SMc02591,-0.28695181723497776,0.4302317391963413,NA,NA,0
SMc02592,-0.07268041699096832,0.8661403650467576,NA,NA,0
SMc02593,-0.3430986492885494,0.21884440063002653,NA,NA,0
SMc02594,-0.028375292854186458,0.9491342226962816,NA,H,0
SMc02595,0.4930378730925979,0.15514465555636167,M00017,E,0
SMc02596,0.7503668799920337,0.01454790532445694,NA,K,0
SMc04463,0.3922205473309765,0.14145711904117092,NA,G,0
SMc02600,0.4381283713457455,0.11046318653591712,NA,T,0
SMc02604,0.04130146140034248,0.9290072571704172,M00140,H,0
SMc02605,0.17415467306785942,NA,NA,E,0
SMc02606,-0.0781126873766223,0.8527861351917102,M00532,E,0
SMc02608,-0.12481500609714995,NA,NA,E,0
SMc02609,0.26021281861604145,0.42317699906281,NA,K,0
SMc02610,0.1018351100829204,0.7146427388444693,NA,F,0
SMc02611,-0.011697705545362938,0.9757417550853456,NA,C,0
SMc02612,-0.07837729248931627,0.7562771269323125,NA,E,0
SMc02613,-0.4277234949444279,0.03851015622831454,NA,E,0
SMc02615,-1.5622012459477193,0.0001360285208441759,NA,NA,2
SMc02616,-0.8329323279545642,0.006885942472701798,NA,P,0
SMc02618,-0.09338627866811296,0.8271219197250146,NA,NA,0
SMc02619,-0.21247304275774484,0.5657882759097522,NA,NA,0
SMc02620,-0.02179867709771579,0.9524681450363444,NA,K,0
SMc04154,0.17551987955028475,0.5985757199211893,NA,F,0
SMc04153,0.05265959097853419,0.8852248828657536,M00532,E,0
SMc04152,-0.02233803081730917,0.963748234676256,NA,NA,0
SMc04151,-0.3513977673900187,0.29076544458427633,NA,C,0
SMc04150,-0.34488124640326984,0.2624288870215261,NA,S,0
SMc04149,-0.3849505649293508,0.16568467771532616,NA,P,0
SMc04148,-0.27327356903269423,0.2351716592543645,M00532,E,0
SMc04147,-0.1160161032720616,0.7609508814377131,NA,E,0
SMc04146,-0.17519693030686698,0.5836634414927538,NA,G,0
SMc04145,-0.016977150890349985,0.9706633351978824,M00004,GM,0
SMc04144,0.03326226097498758,0.9420746861995432,M00019,EG,0
SMc04143,0.17828516802279995,0.5027381836041239,NA,K,0
SMc04142,-0.033394162489945235,0.9408745323393212,NA,G,0
SMc04141,-0.04782280533835205,NA,NA,O,0
SMc04140,-0.3733866508631217,0.2575643500851313,M00194,P,0
SMc04139,-0.22938665205930464,0.5320670531874776,NA,S,0
SMc04138,-0.1040818809709376,NA,NA,S,0
SMc04137,-0.1631726522629366,NA,M00207,P,0
SMc04136,-0.1491623263156918,NA,M00196,P,0
SMc04135,0.099422965426219,0.8090568498699681,M00207,G,0
SMc04134,0.10039809781536677,0.8079482605846822,NA,K,0
SMc04133,0.07770172633554491,NA,NA,S,0
SMc04132,-0.018202928880158783,NA,NA,EM,0
SMc04131,-0.21550703037621127,NA,NA,M,0
SMc04130,-0.15541340147597446,NA,NA,G,0
SMc04129,-0.15367909793938006,0.6476586128351015,NA,S,0
SMc04128,0.6921469296559638,0.0007155595401230107,NA,P,0
SMc04127,0.1465208088478179,0.5152101353016166,M00221,S,0
SMc04126,-0.3990391305435197,0.04557060835969056,M00221,S,0
