id,log2FoldChange,padj,KEGG_Module,COG,exp
Sinme_5277,-0.42759931983405214,0.37628270219533616,M00045,E,0
Sinme_5278,-0.771762345517524,0.063579069913973,NA,K,0
Sinme_5279,-0.20803792170062008,0.6985435881615277,M00239,E,0
Sinme_5280,-0.40600235769093546,NA,M00038,G,0
Sinme_5281,-0.9920617745749444,0.025978510970948332,M00239,EP,0
Sinme_5282,-0.048480365304888036,0.9410219183593896,M00239,EP,0
Sinme_5283,-0.4411062080668536,0.31690699449735554,M00239,P,0
Sinme_5284,0.4322432687305977,0.3182563253857693,NA,NA,0
Sinme_5285,0.3178972474940379,0.4913317090886933,NA,S,0
Sinme_5287,0.5642360785255853,0.15388990456007287,NA,NA,0
Sinme_5288,0.3304123337836323,0.4632960165862351,NA,S,0
Sinme_5289,0.35027328746905273,0.4452246293391948,NA,S,0
Sinme_5291,-0.4583129671880709,0.30911825971378154,NA,S,0
Sinme_5292,-0.391909975907716,0.4322418504098495,NA,S,0
Sinme_5293,0.7189527473390146,0.07815507753243399,NA,NA,0
Sinme_5295,-0.7442103880377813,0.038370085901514174,NA,H,0
Sinme_5296,-0.7497874731384441,0.024523928527982,NA,K,0
Sinme_5300,-0.03811091487085387,0.9381983959207221,NA,L,0
Sinme_5302,0.17307428992161586,0.7095638762683117,NA,DZ,0
Sinme_5303,-0.6685174820563198,0.13875490699542473,NA,K,0
Sinme_5304,-0.7394662248013026,NA,NA,NA,0
Sinme_5305,-0.4037995502723969,0.3049889695391017,NA,NA,0
Sinme_5306,-0.11650121041965406,0.8371763708599098,NA,NA,0
Sinme_5307,-0.14273376169013935,0.7883587494629097,NA,S,0
Sinme_5308,-0.7024839185929009,0.11178809493807422,NA,S,0
Sinme_5309,0.0765228415948382,NA,NA,NA,0
Sinme_5310,-0.27296712446415616,0.3863592028374536,M00121,K,0
Sinme_5312,0.37383157384390586,0.4527184900331954,NA,I,0
Sinme_5313,-0.6902918491381157,NA,NA,S,0
Sinme_5314,-0.04845725405386282,0.9387760802113037,NA,S,0
Sinme_5315,-0.16756727948664069,0.7610662292117188,NA,S,0
Sinme_5316,-0.02177661504876773,NA,NA,NA,0
Sinme_5317,-0.21943699695152585,0.6565623265809859,NA,T,0
Sinme_5321,0.4560235202193502,0.2342785812457576,M00695,T,0
Sinme_5323,-1.1081509116248618,0.01194338109959884,NA,S,2
Sinme_5324,-0.5219169977044787,0.2314761570408569,NA,G,0
Sinme_5325,0.2771250828420476,0.5618268925625909,NA,C,0
Sinme_5326,-0.056872591859137366,NA,NA,S,0
Sinme_5327,-0.03005652294334749,0.9604288405022376,NA,S,0
Sinme_5328,-0.17451836780608848,NA,NA,M,0
Sinme_5329,0.07736157649772286,0.8974771849445015,NA,K,0
Sinme_5332,-0.6001488900350166,0.08547597808526107,NA,I,0
Sinme_5333,-0.8355179048273954,0.0051472788767443324,NA,S,0
Sinme_5334,-0.11336808996425085,0.846303847695502,NA,NA,0
Sinme_5335,-0.12547120035955805,0.832717662216148,NA,O,0
