id,log2FoldChange,padj,KEGG_Module,COG,exp
Sinme_5277,-0.15012869544505128,0.6369934428166948,M00045,E,0
Sinme_5278,-0.29183914727819865,0.34774389439844783,NA,K,0
Sinme_5279,0.09676875588606107,0.7780826364425194,M00239,E,0
Sinme_5280,-0.004115340372270104,NA,M00038,G,0
Sinme_5281,-0.32921178188656336,0.2654432433121081,M00239,EP,0
Sinme_5282,0.21351589693407896,0.4439067235473042,M00239,EP,0
Sinme_5283,0.06523599266823553,0.8560237450871641,M00239,P,0
Sinme_5284,0.2316427173397459,0.3343210670111595,NA,NA,0
Sinme_5285,-0.0814542108502304,0.8170507781577424,NA,S,0
Sinme_5287,0.14927269484364222,NA,NA,NA,0
Sinme_5288,-0.004617594297719592,NA,NA,S,0
Sinme_5289,0.3201632525941598,0.30320661627989354,NA,S,0
Sinme_5291,-0.5044934922413521,0.07397076152748444,NA,S,0
Sinme_5292,-0.13020309311935627,0.6763600192313304,NA,S,0
Sinme_5293,1.0541116794637138,0.007760616817520061,NA,NA,1
Sinme_5295,-0.17706979597281608,0.5808619996326632,NA,H,0
Sinme_5296,-0.00912666520404164,0.9834827173256928,NA,K,0
Sinme_5300,0.014517686159912356,0.9543577691703904,NA,L,0
Sinme_5302,-0.03602048594725222,0.9259949120901808,NA,DZ,0
Sinme_5303,-0.5877057289194738,0.07553865011490044,NA,K,0
Sinme_5304,-0.18444662174235885,NA,NA,NA,0
Sinme_5305,-0.2459009886266668,0.4266730417744696,NA,NA,0
Sinme_5306,0.23030045578021696,0.4660062090743473,NA,NA,0
Sinme_5307,-0.009807693946352058,0.9827974061623144,NA,S,0
Sinme_5308,-0.12425950956227552,0.7056445681055835,NA,S,0
Sinme_5309,0.016278201731018013,NA,NA,NA,0
Sinme_5310,-0.06578942843232041,0.8396755276974853,M00121,K,0
Sinme_5312,0.012770008333429088,0.9754023580612192,NA,I,0
Sinme_5313,-0.23747887862606284,NA,NA,S,0
Sinme_5314,0.21210529198060976,0.5098273278412391,NA,S,0
Sinme_5315,0.09015757433619824,0.7933164158983366,NA,S,0
Sinme_5316,0.054275562771232654,NA,NA,NA,0
Sinme_5317,0.0064334373858435856,0.988024754782158,NA,T,0
Sinme_5321,0.33865723372177275,0.26364378535068056,M00695,T,0
Sinme_5323,-0.27677618660133324,NA,NA,S,0
Sinme_5324,-0.08182416216428468,NA,NA,G,0
Sinme_5325,0.2399750924837765,0.3445464989040293,NA,C,0
Sinme_5326,-0.021173670072497708,NA,NA,S,0
Sinme_5327,-0.03881845039654652,NA,NA,S,0
Sinme_5328,0.040008319139479706,NA,NA,M,0
Sinme_5329,0.09297072821312546,0.7890289476101923,NA,K,0
Sinme_5332,-0.08382175867213731,0.8053380106134967,NA,I,0
Sinme_5333,-0.11662003495710545,0.7146192773065155,NA,S,0
Sinme_5334,0.004667190775274746,0.990794807365462,NA,NA,0
Sinme_5335,0.06309468255356221,0.856732435103953,NA,O,0
Sinme_5336,-0.2773097868389701,0.3765887405267507,NA,O,0
Sinme_5338,-0.2052632839533172,0.4697736328388126,M00512,T,0
Sinme_5340,-0.17185884067381624,0.5304467857511436,NA,S,0
Sinme_5341,0.3375674882154434,0.2788982823413391,NA,NA,0
Sinme_5342,-0.028840811431852364,0.9367394361926452,NA,S,0
Sinme_5343,-0.3285285818417454,0.27424950709473506,M00769,K,0
Sinme_5345,-0.002888143881835959,0.9930855672669237,NA,Q,0
Sinme_5347,0.08941308184798956,0.7956380327496537,NA,S,0
Sinme_5348,-0.06202676577311825,0.8580572585306226,NA,S,0
Sinme_5349,-0.15836731203358678,0.6233979777400196,M00212,G,0
Sinme_5350,-0.1808671918482796,0.5605064882500468,M00212,G,0
Sinme_5351,-0.13891565028509548,0.6599348214529652,M00212,G,0
Sinme_5352,-0.10571294058564656,0.7559050635365949,NA,K,0
Sinme_5353,-0.03097956970362445,0.9269210982775452,NA,C,0
Sinme_5354,-0.09420389686263282,0.7845352433467143,NA,C,0
Sinme_5355,-0.04708125318306852,0.8987830623661285,M00027,C,0
Sinme_5356,-0.014792842165652829,0.9743602594259,NA,I,0
Sinme_5357,0.22596830443314864,0.4502726262614861,NA,C,0
Sinme_5358,0.012433978684348573,0.9777262275134532,M00260,L,0
Sinme_5359,0.15182031871605348,0.6383408914716311,NA,S,0
Sinme_5360,0.245556744845772,0.418991676909302,NA,G,0
Sinme_5361,0.04499923466648187,0.9023217617520508,NA,G,0
Sinme_5362,0.057388527653240165,0.8669149006724264,NA,G,0
Sinme_5363,0.24332306426213196,0.4325142689618683,NA,S,0
Sinme_5364,-0.1294790340918548,0.6970562209357551,NA,K,0
Sinme_5365,-0.2989678426046289,0.3345292061535269,NA,C,0
Sinme_5366,0.1315958653441281,0.671623577391543,NA,GM,0
Sinme_5367,0.21450432249244594,0.44690989307932855,NA,I,0
Sinme_5368,-0.0688130795220368,0.845926171734695,M00019,EG,0
Sinme_5369,0.05203921641170831,0.8857585620386256,NA,G,0
Sinme_5370,0.008303734445586271,0.9837874198809472,NA,K,0
Sinme_5371,0.7907022336393337,0.008976484491083334,NA,K,0
Sinme_5372,0.09873227122802963,0.7745896436236179,M00740,E,0
Sinme_5373,0.07928403685199911,0.7957579502032289,NA,G,0
Sinme_5374,-0.04873299737132845,0.8743494006870012,M00713,EGP,0
Sinme_5375,-0.06938862882372765,0.843478142579608,NA,K,0
Sinme_5376,-0.09361302962734057,0.7875927270598989,NA,K,0
Sinme_5377,-0.028841456606335907,0.939174429973542,NA,C,0
Sinme_5378,0.2253510191618661,0.40701709310334944,M00212,G,0
Sinme_5379,0.06078180064516474,NA,M00221,G,0
Sinme_5380,-0.2803985159035159,NA,M00221,G,0
Sinme_5381,0.012806148145581763,NA,NA,G,0
Sinme_5385,-0.2831722372721125,0.34443132966257023,NA,T,0
Sinme_5386,0.10440487423064446,0.7553513468250538,NA,T,0
Sinme_5387,0.13890091868929874,0.6652579916657039,M00212,G,0
Sinme_5388,0.16793336248618188,0.569571743252143,M00212,G,0
Sinme_5389,-0.05963149540171043,0.8477700375691805,M00212,G,0
Sinme_5390,-0.1311319102369779,0.6652579916657039,M00212,G,0
Sinme_5391,0.0913224615747127,0.749413762611614,M00129,G,0
Sinme_5393,0.5546104864046025,0.10328423138427176,NA,K,0
Sinme_5394,0.11056247957466872,0.7428440472885338,NA,S,0
Sinme_5396,0.034398909435378884,0.929219286737796,NA,K,0
Sinme_5397,-0.17182040523951028,0.5999103027344161,NA,NA,0
Sinme_5398,0.1660239628032193,0.6039405141110998,NA,IQ,0
Sinme_5399,0.09049692084669138,0.7865377660643783,M00713,EGP,0
Sinme_5400,-0.036743189310406967,0.9205559436077982,NA,K,0
Sinme_5401,0.1143710388493657,0.7232983898787309,NA,S,0
Sinme_5402,0.09748951984932724,0.7731523930299817,NA,K,0
Sinme_5403,-0.03140755398230352,NA,NA,C,0
Sinme_5404,-0.296772524485667,0.2907615481045183,NA,T,0
Sinme_5405,0.4633545116986226,0.15867112312064335,NA,S,0
Sinme_5406,-0.16007580119049206,0.6147736621011143,NA,M,0
Sinme_5407,0.2495256435385336,0.3823434037556695,NA,S,0
Sinme_5408,0.0615681134987946,0.8580572585306226,NA,S,0
Sinme_5409,0.08024951690712431,0.8194396228686909,NA,Q,0
Sinme_5410,-0.03698873040478968,0.9236881399342816,NA,J,0
Sinme_5411,-0.018570269848663508,0.963862566290398,NA,NU,0
Sinme_5412,-0.15781922646179966,0.6179547030500366,NA,NA,0
Sinme_5413,-0.06304968884046104,0.8358862702129173,NA,U,0
Sinme_5414,0.5885638224128112,0.08820978551153659,NA,K,0
Sinme_5415,0.11388230054022705,0.7322035739991026,NA,G,0
Sinme_5416,-0.09121116487852572,NA,NA,G,0
Sinme_5417,0.13502899172778188,NA,NA,G,0
Sinme_5418,0.0021377092951039367,NA,NA,G,0
Sinme_5419,0.10791060555100483,0.7322035739991026,NA,IQ,0
Sinme_5420,-0.07548674003550879,0.8318412600373937,NA,K,0
