id,log2FoldChange,padj,KEGG_Module,COG,exp
SinmeB_0001,0.3925564786098403,0.012947452740159794,NA,L,0
SinmeB_0002,-0.7051296837673605,0.01706972179060821,NA,S,0
SinmeB_0003,-0.68236905555999,0.0009635295293682175,NA,K,0
SinmeB_0004,-0.8747734817973851,0.03772963186539925,NA,S,0
SinmeB_0005,-1.2546354387805374,3.08448815256535e-07,NA,S,2
SinmeB_0006,0.4988164589380688,0.03020820781730185,NA,H,0
SinmeB_0007,0.09298241097408153,0.7609320929172351,NA,F,0
SinmeB_0008,0.07815812319883728,0.8163532505141864,NA,E,0
SinmeB_0009,-0.24496360816967475,0.188123415549394,NA,J,0
SinmeB_0010,0.5020652587480183,0.0005538210303770429,NA,K,0
SinmeB_0011,0.02518462613746521,0.9148367171465532,NA,O,0
SinmeB_0012,-0.4005011153398197,0.0376550893471643,M00273,G,0
SinmeB_0013,-0.5917962849557503,0.0005628905966060933,NA,J,0
SinmeB_0014,-0.3813696719744345,0.013330822365270991,NA,K,0
SinmeB_0015,-0.2179039983369646,0.22595132163179865,M00254,S,0
SinmeB_0016,-1.0802441947144301,2.927392699178136e-18,NA,S,2
SinmeB_0017,-1.9795701928311225,1.7081779860805184e-31,NA,S,2
SinmeB_0018,-0.3047952506522564,0.09803697315021702,NA,OU,0
SinmeB_0019,-0.5826930736653637,0.00018879346728367435,NA,K,0
SinmeB_0020,-0.5965750693938082,0.003796771844678913,NA,S,0
SinmeB_0021,-0.4214261391582187,0.03372630869772273,NA,S,0
SinmeB_0022,0.31274148708272337,0.10664467557850316,NA,J,0
SinmeB_0023,-0.11724931428114467,0.5663306827363833,NA,J,0
SinmeB_0024,-0.4300626394344411,0.06778553369021025,NA,MU,0
SinmeB_0025,0.8730971014309492,5.424881037048249e-10,NA,T,0
SinmeB_0026,0.8545210974141451,3.3460273767520814e-05,NA,S,0
SinmeB_0027,-0.308407607996739,0.06398311915620791,M00169,C,0
SinmeB_0028,0.7586571724854212,8.078262725720251e-06,NA,L,0
SinmeB_0029,-0.1484487708998349,0.4453866535307207,NA,O,0
SinmeB_0030,-0.2708171381724284,0.2922351205592013,NA,S,0
SinmeB_0031,0.53440753984512,0.2707575452238115,NA,E,0
SinmeB_0032,-0.7999044315140112,4.387118050888188e-05,M00359,J,0
SinmeB_0033,0.2841282310735197,0.05680651040969604,NA,T,0
SinmeB_0034,0.02456300312457324,0.9044551813536882,NA,O,0
SinmeB_0035,0.5659245705969156,0.011189737656398292,NA,O,0
SinmeB_0036,0.4655176897279134,0.17440772353519726,NA,K,0
SinmeB_0037,0.3235243640382261,0.2728608666103298,M00089,I,0
SinmeB_0038,-0.8123595756452484,4.2327787143374135e-09,NA,J,0
SinmeB_0039,-0.4536977851936124,0.003061500654553709,NA,T,0
SinmeB_0040,-0.3184325041063029,0.1283268419720016,M00124,J,0
SinmeB_0041,0.8869694292042376,4.16242397945549e-09,NA,S,0
SinmeB_0042,-0.9336935819123188,1.1494905495180292e-05,NA,M,0
SinmeB_0043,0.230904148855841,0.1828562148710739,NA,K,0
SinmeB_0044,0.9489263425956856,1.7791847139169663e-09,M00034,H,0
SinmeB_0045,0.08613349344384312,0.7651012602588779,M00060,J,0
SinmeB_0046,-1.184430658050838,3.393028264731032e-12,NA,S,2
SinmeB_0047,0.8601709551901172,1.6647322887528273e-07,NA,O,0
SinmeB_0048,-0.2008030619803504,0.2448332631466457,NA,F,0
SinmeB_0049,-0.14799661820380822,0.6387545289179971,NA,T,0
SinmeB_0050,0.11784342957872113,0.6155534456070035,NA,H,0
SinmeB_0051,-0.8715542862287698,6.329256466086345e-05,NA,S,0
SinmeB_0052,-0.25502744264931554,0.22390368099276114,NA,J,0
SinmeB_0053,-0.2346169656966523,0.1851825490478196,NA,J,0
SinmeB_0054,-0.016463192480267144,0.9632302645441272,NA,J,0
SinmeB_0056,0.19801663234363667,0.5858005803168371,NA,NA,0
SinmeB_0057,-0.14616943704447805,0.4673887463718845,M00016,E,0
SinmeB_0058,-0.6997279819004838,0.02042143704033464,M00641,V,0
SinmeB_0059,-0.1529789432650768,0.5932437411583834,M00698,M,0
SinmeB_0060,-0.043322282349573166,0.8519326261105973,NA,I,0
SinmeB_0061,-0.008666747548317016,0.9766679077160476,M00698,K,0
SinmeB_0063,-0.27593997408939186,0.3850367759273058,NA,L,0
SinmeB_0065,-0.2242726715901862,0.3814435894225018,NA,S,0
SinmeB_0066,0.059789996455541984,0.7375034892730227,M00016,E,0
SinmeB_0067,-0.8328159074455956,0.00013627993924858557,NA,S,0
SinmeB_0068,-0.5880445507459849,0.00032238183044977736,NA,S,0
SinmeB_0069,-0.2566136602342489,0.3129252076114365,NA,EG,0
SinmeB_0070,0.42379133760638776,0.07523698459694479,NA,FL,0
SinmeB_0071,0.13557363321065785,0.4999816264919126,NA,G,0
SinmeB_0072,-0.6113069821800182,2.168481104951039e-05,M00028,E,0
SinmeB_0073,0.16153736774384794,0.4509225207100287,NA,S,0
SinmeB_0074,-0.23237974315407425,0.559241889441833,NA,O,0
SinmeB_0075,-2.457296276270036,5.83529906678005e-34,NA,S,2
SinmeB_0076,-0.5409196445646987,0.003951397375396116,NA,D,0
SinmeB_0077,-0.23929475419264346,0.07719529369637357,M00335,U,0
SinmeB_0078,-1.177172869354407,3.0030702271492334e-06,NA,J,2
SinmeB_0080,-1.9008515039766307,1.1933188465664311e-36,NA,NT,2
SinmeB_0081,-0.9126154434561592,0.020789143907108967,NA,S,0
SinmeB_0082,-0.1459031213424516,0.5486483088022126,NA,C,0
SinmeB_0083,0.12407752694180472,0.571925478291877,M00501,T,0
SinmeB_0084,-0.08398441417577182,0.7056357866564815,NA,K,0
SinmeB_0085,-1.346135032359406,0.00499936687026036,NA,J,2
SinmeB_0086,-0.1714502465560937,0.5370652499572736,NA,NA,0
SinmeB_0087,-0.5836733256560109,0.0010990382857663562,NA,C,0
SinmeB_0088,0.05767848309235441,0.8869505734429254,NA,S,0
SinmeB_0089,-0.4691021644984078,0.17053287175401888,NA,NU,0
