id,log2FoldChange,padj,KEGG_Module,COG,exp
SinmeB_0001,0.08460952678786482,0.5905777997093637,NA,L,0
SinmeB_0002,-0.06312537038164906,0.7496316286937146,NA,S,0
SinmeB_0003,-0.07552972532052019,0.6841281471419163,NA,K,0
SinmeB_0004,0.015596427689523882,0.9472124393899756,NA,S,0
SinmeB_0005,0.03765052739485978,0.8524194347638699,NA,S,0
SinmeB_0006,0.03811753976895625,0.8523210510651245,NA,H,0
SinmeB_0007,-0.10707533147757238,0.5430213160110371,NA,F,0
SinmeB_0008,-0.08144184716358617,0.6565173664935927,NA,E,0
SinmeB_0009,-0.04265536613796905,0.8203519729653399,NA,J,0
SinmeB_0010,0.11284414369799915,0.445927965093331,NA,K,0
SinmeB_0011,0.11564269740174545,0.4772931104996008,NA,O,0
SinmeB_0012,0.054046572203411,0.7794431652785014,M00273,G,0
SinmeB_0013,0.11147131037107996,0.4817421289182486,NA,J,0
SinmeB_0014,-0.035576534513307376,0.8404447775181783,NA,K,0
SinmeB_0015,-0.15919732187868887,0.3060194908622269,M00254,S,0
SinmeB_0016,0.008675498653607033,0.9671176986958068,NA,S,0
SinmeB_0017,-0.2073930170686108,0.18764871709045086,NA,S,0
SinmeB_0018,0.009918320967680966,0.9677333919694856,NA,OU,0
SinmeB_0019,0.06156033825914437,0.7218231434002412,NA,K,0
SinmeB_0020,-0.004518008133813235,0.9857265946535366,NA,S,0
SinmeB_0021,-0.03487413095902498,0.8605646417186048,NA,S,0
SinmeB_0022,0.0378229229669674,0.8433492006286083,NA,J,0
SinmeB_0023,0.02481323177520427,0.9050802820956941,NA,J,0
SinmeB_0024,-0.002136804124549352,0.9947289562307772,NA,MU,0
SinmeB_0025,-0.11467145306822595,0.4504599283034206,NA,T,0
SinmeB_0026,0.35303442011559266,0.050280456005978864,NA,S,0
SinmeB_0027,0.006814841531335544,0.9801710764962684,M00169,C,0
SinmeB_0028,-0.03494838372525474,0.8556724285754718,NA,L,0
SinmeB_0029,-0.0985751724974331,0.5532373751009967,NA,O,0
SinmeB_0030,-0.025051044511181862,0.9145565004189184,NA,S,0
SinmeB_0031,0.02601198169418833,NA,NA,E,0
SinmeB_0032,-0.03871611543104789,0.8415789215449307,M00359,J,0
SinmeB_0033,0.08714090675734736,0.5685510914926838,NA,T,0
SinmeB_0034,0.4651667645030498,0.002636702955331209,NA,O,0
SinmeB_0035,0.05374498048305717,0.7927991089194893,NA,O,0
SinmeB_0036,0.016037794956751728,0.9472124393899756,NA,K,0
SinmeB_0037,0.021004186902805613,0.9305764851341556,M00089,I,0
SinmeB_0038,-0.0006116855421669717,0.998492556868961,NA,J,0
SinmeB_0039,0.0656235519968467,0.6939960904533433,NA,T,0
SinmeB_0040,0.01574782634553739,0.9470847567237188,M00124,J,0
SinmeB_0041,0.3674097200571276,0.016449603717328544,NA,S,0
SinmeB_0042,-0.02409344730458724,0.9148707330082326,NA,M,0
SinmeB_0043,-0.016268394810655642,0.9419378969317204,NA,K,0
SinmeB_0044,0.944300626666853,1.849970320095548e-08,M00034,H,0
SinmeB_0045,0.11164019653923027,0.5206725916739744,M00060,J,0
SinmeB_0046,-0.15169343611356506,0.3308632017669979,NA,S,0
SinmeB_0047,0.2942126767530358,0.06767960737519801,NA,O,0
SinmeB_0048,0.017390301113452963,0.9354267877569612,NA,F,0
SinmeB_0049,-0.09028358352839748,0.6141793247567716,NA,T,0
SinmeB_0050,-0.05140495871279044,0.7935335183503016,NA,H,0
SinmeB_0051,0.04147555577113742,0.8367369055947235,NA,S,0
SinmeB_0052,0.05570402594466114,0.7782783776272347,NA,J,0
SinmeB_0053,-0.05240566021180905,0.7794431652785014,NA,J,0
SinmeB_0054,0.010763749784265584,0.9686110803065368,NA,J,0
SinmeB_0056,-0.09262222199488863,0.5895003866006416,NA,NA,0
SinmeB_0057,-0.02937775577732467,0.8837124962167031,M00016,E,0
SinmeB_0058,-0.25096254177600025,0.17181727377202055,M00641,V,0
SinmeB_0059,-0.19412970283788208,0.2622221335455188,M00698,M,0
SinmeB_0060,-0.05803100450838902,0.7648117007566616,NA,I,0
SinmeB_0061,0.1875777133001621,0.2738452593310836,M00698,K,0
SinmeB_0063,-0.1177027798414083,0.4898842476576888,NA,L,0
SinmeB_0065,0.09196979940697507,0.6014902561626523,NA,S,0
SinmeB_0066,0.06624083736459999,0.6919498742707528,M00016,E,0
SinmeB_0067,-0.007653813652433619,0.9800801533769592,NA,S,0
SinmeB_0068,0.09222365829752864,0.5626141369027895,NA,S,0
SinmeB_0069,0.04671117478051826,0.8179574280445058,NA,EG,0
SinmeB_0070,0.1295654640442737,0.4418371613191165,NA,FL,0
SinmeB_0071,0.022041840161493808,0.9168541391758628,NA,G,0
SinmeB_0072,-0.03156605958055046,0.8559449076951094,M00028,E,0
SinmeB_0073,0.06415239590278453,0.7325528463477687,NA,S,0
SinmeB_0074,-0.03630288300080072,0.8559449076951094,NA,O,0
SinmeB_0075,-0.006641374219035046,0.9819294788055568,NA,S,0
SinmeB_0076,0.08072975186442953,0.6340144012398771,NA,D,0
SinmeB_0077,0.0022140204878540945,0.9920629345520612,M00335,U,0
SinmeB_0078,0.0033461746049617412,0.9901902613832896,NA,J,0
SinmeB_0080,-0.44805417574734185,0.0021896331011676817,NA,NT,0
SinmeB_0081,-0.07987817629071597,0.6420498083770263,NA,S,0
SinmeB_0082,0.011855572916208302,0.9632487202846955,NA,C,0
SinmeB_0083,0.027601206681513026,0.893817136750472,M00501,T,0
SinmeB_0084,0.03642691951837817,0.8520814310552207,NA,K,0
SinmeB_0085,-0.13718970676562434,NA,NA,J,0
SinmeB_0086,0.09202552573315788,0.6027544439206702,NA,NA,0
SinmeB_0087,-0.02059832165575389,0.9233776079750284,NA,C,0
SinmeB_0088,-0.07947610746552364,0.6551670868190957,NA,S,0
SinmeB_0089,-0.07696121004124706,0.6805053549832522,NA,NU,0
SinmeB_0095,0.05984505635259173,0.7421554566101924,NA,S,0
SinmeB_0096,0.08398960127797875,0.6250747797163139,NA,O,0
SinmeB_0098,0.024808076491223185,0.915280977214921,NA,S,0
SinmeB_0099,0.010103729087039085,0.9638203894415688,NA,C,0
