id,log2FoldChange,padj,KEGG_Module,COG,exp
SinmeB_0001,-0.27833199471375525,0.082827102790533,NA,L,0
SinmeB_0002,-0.3560636912396836,0.1259205238163503,NA,S,0
SinmeB_0003,-0.2618234130743817,0.18414440770334609,NA,K,0
SinmeB_0004,0.07949981316168069,NA,NA,S,0
SinmeB_0005,0.2748642499140583,0.17450289590392848,NA,S,0
SinmeB_0006,0.048437744276826816,0.8565022278242292,NA,H,0
SinmeB_0007,-0.22009332424627312,0.34351063658802056,NA,F,0
SinmeB_0008,-0.3807209206309881,0.11120348676297748,NA,E,0
SinmeB_0009,-0.2442214643818132,0.16984427424935108,NA,J,0
SinmeB_0010,0.22215606035455307,0.15178549912183395,NA,K,0
SinmeB_0011,-0.025138358489665287,0.9221320361207016,NA,O,0
SinmeB_0012,0.1546651692093017,0.4243380812848933,M00273,G,0
SinmeB_0013,0.4507011502571786,0.005921308130915589,NA,J,0
SinmeB_0014,-0.2254744893254602,0.16378610116699224,NA,K,0
SinmeB_0015,-0.3741599227406112,0.023280404296120424,M00254,S,0
SinmeB_0016,0.22108342449546647,0.0999214132631362,NA,S,0
SinmeB_0017,0.33575735037389504,0.03992294448247883,NA,S,0
SinmeB_0018,-0.039496907287141864,0.8658706879911208,NA,OU,0
SinmeB_0019,0.1284485645045147,0.4654961777137023,NA,K,0
SinmeB_0020,-0.10281656405059003,0.6441585138626545,NA,S,0
SinmeB_0021,-0.15540499045445233,0.4399825410401258,NA,S,0
SinmeB_0022,-0.033230517752519374,0.8969949395883078,NA,J,0
SinmeB_0023,0.05674306973483687,0.8039977307539059,NA,J,0
SinmeB_0024,-0.03415191617478276,0.9026925159588408,NA,MU,0
SinmeB_0025,-0.30503765188621546,0.0547050446902334,NA,T,0
SinmeB_0026,0.5649377485453874,0.003660912919415125,NA,S,0
SinmeB_0027,-0.21712975434664425,0.19255386460849225,M00169,C,0
SinmeB_0028,-0.4141265263829567,0.018217234360485158,NA,L,0
SinmeB_0029,-0.38359803133513865,0.02665366392692724,NA,O,0
SinmeB_0030,0.05012176270862359,0.8510843812405233,NA,S,0
SinmeB_0031,-0.0906151708492103,NA,NA,E,0
SinmeB_0032,-0.5678957541586951,0.0027839252798215128,M00359,J,0
SinmeB_0033,0.13588176000261326,0.41678497406265536,NA,T,0
SinmeB_0034,0.6899519111932624,6.5974444455811306e-06,NA,O,0
SinmeB_0035,0.26743145729818163,0.19189813246707813,NA,O,0
SinmeB_0036,-0.11725586351318028,0.6540735855367528,NA,K,0
SinmeB_0037,-0.11669144169568248,0.6482686536855323,M00089,I,0
SinmeB_0038,-0.3069515666773994,0.03358234659824349,NA,J,0
SinmeB_0039,-0.17173838859238175,0.30035456893907325,NA,T,0
SinmeB_0040,-0.4647834154929557,0.01630104904477865,M00124,J,0
SinmeB_0041,0.6688382264602867,8.757362855020391e-06,NA,S,0
SinmeB_0042,-0.3701763692186234,0.059421403521384135,NA,M,0
SinmeB_0043,-0.1217789077183712,0.5144299611719848,NA,K,0
SinmeB_0044,0.3285612018672312,0.03894075610039078,M00034,H,0
SinmeB_0045,-0.06218340482135976,0.8143383090492531,M00060,J,0
SinmeB_0046,0.15529985703424162,0.4031540559899358,NA,S,0
SinmeB_0047,0.9334711162473108,1.7990531474664983e-08,NA,O,0
SinmeB_0048,-0.14712976731984204,0.4096115268022226,NA,F,0
SinmeB_0049,-0.11447198315545855,0.6494799900786945,NA,T,0
SinmeB_0050,-0.21374192315712026,0.2819605717098787,NA,H,0
SinmeB_0051,-0.25558807996663924,0.2057827144422502,NA,S,0
SinmeB_0052,-0.048558987174846704,0.8424282605724198,NA,J,0
SinmeB_0053,-0.13505274122650204,0.4667905603595758,NA,J,0
SinmeB_0054,-0.1850398894743473,0.4358991291774758,NA,J,0
SinmeB_0056,-0.1600040574414088,NA,NA,NA,0
SinmeB_0057,-0.39733994212010704,0.02654905382854032,M00016,E,0
SinmeB_0058,-0.17458103817005946,0.4656314236255689,M00641,V,0
SinmeB_0059,-0.1118508283542569,0.6494799900786945,M00698,M,0
SinmeB_0060,-0.202070290219198,0.3022003757041026,NA,I,0
SinmeB_0061,0.0711751977024525,0.7842573187162307,M00698,K,0
SinmeB_0063,-0.35165835708910304,0.13518641742326956,NA,L,0
SinmeB_0065,-0.13398219540263104,0.5650303957911771,NA,S,0
SinmeB_0066,-0.07680589134276411,0.685431749622587,M00016,E,0
SinmeB_0067,-0.240222539089702,0.2405792243751101,NA,S,0
SinmeB_0068,-0.10130195795299447,0.5989973366474336,NA,S,0
SinmeB_0069,0.1074917126898452,0.6494799900786945,NA,EG,0
SinmeB_0070,0.3494465944697396,0.08872626911933865,NA,FL,0
SinmeB_0071,0.20603030072343512,0.2615505681560866,NA,G,0
SinmeB_0072,-0.2923551724599407,0.051454721053086135,M00028,E,0
SinmeB_0073,0.3775978019772417,0.03570188618789155,NA,S,0
SinmeB_0074,0.5988793220763645,NA,NA,O,0
SinmeB_0075,-0.3216724859038837,0.06586984337925382,NA,S,0
SinmeB_0076,-0.03208963900946722,0.9000750918185261,NA,D,0
SinmeB_0077,-0.20874720123924856,0.14059638295342616,M00335,U,0
SinmeB_0078,-0.7492954771247496,0.001579986520973964,NA,J,0
SinmeB_0080,-0.2829430387059276,0.059407770518375924,NA,NT,0
SinmeB_0081,-0.11187566760255684,NA,NA,S,0
SinmeB_0082,-0.12546587541608484,0.5780237711530022,NA,C,0
SinmeB_0083,0.07304092234127639,0.7508363286483194,M00501,T,0
SinmeB_0084,0.015960998007165526,0.9526949626834827,NA,K,0
SinmeB_0085,-0.3151889153721881,NA,NA,J,0
SinmeB_0086,-0.03194861824496897,0.9132623044646478,NA,NA,0
SinmeB_0087,-0.4382640446356643,0.012715053682864906,NA,C,0
SinmeB_0088,0.0040805484511758465,0.9912446626301766,NA,S,0
