id,log2FoldChange,padj,KEGG_Module,COG,exp
SinmeB_0001,0.4688020841253355,0.005675105615419767,NA,L,0
SinmeB_0002,-0.7508854609889375,0.012934745679512557,NA,S,0
SinmeB_0003,-0.4451765226422351,0.042288551140014334,NA,K,0
SinmeB_0004,-0.6176912696813648,0.1042271117048052,NA,S,0
SinmeB_0005,-0.5838544605372613,0.015898136402840726,NA,S,0
SinmeB_0006,0.4174845093983334,0.08168712582126432,NA,H,0
SinmeB_0007,-0.2178559092320622,0.4607708134995142,NA,F,0
SinmeB_0008,0.08710100377237459,0.7974210481206723,NA,E,0
SinmeB_0009,-0.13452548275623186,0.538982231120034,NA,J,0
SinmeB_0010,0.6087059981678414,0.000106277612052147,NA,K,0
SinmeB_0011,0.31856392329808986,0.12662927851552155,NA,O,0
SinmeB_0012,0.02348999299332179,0.934096239896854,M00273,G,0
SinmeB_0013,-0.2523802833097881,0.2150358990299069,NA,J,0
SinmeB_0014,-0.049645718426247834,0.8152434656225122,NA,K,0
SinmeB_0015,-0.08586588262652224,0.7000194948463202,M00254,S,0
SinmeB_0016,-0.4262567416110461,0.002232736396289381,NA,S,0
SinmeB_0017,-1.5181629801436007,6.050500135694122e-16,NA,S,2
SinmeB_0018,-0.1328287289742708,0.5483810282449334,NA,OU,0
SinmeB_0019,-0.19989732779709424,0.2903075479639575,NA,K,0
SinmeB_0020,-0.142357981035848,0.5615893951901669,NA,S,0
SinmeB_0021,-0.33884997900670605,0.11182147097455672,NA,S,0
SinmeB_0022,0.2867242585384456,0.1734544523039364,NA,J,0
SinmeB_0023,0.31896039268392457,0.10108744608389184,NA,J,0
SinmeB_0024,0.1947866962869564,0.4422767005319361,NA,MU,0
SinmeB_0025,0.4278406453791303,0.00807255033570662,NA,T,0
SinmeB_0026,1.0521912071740325,2.4988399594396155e-06,NA,S,1
SinmeB_0027,0.1580644154071283,0.4294043359300648,M00169,C,0
SinmeB_0028,0.7107225446693195,0.00011377154381233154,NA,L,0
SinmeB_0029,-0.01925259285454676,0.9416680622998764,NA,O,0
SinmeB_0030,0.10255908888260484,0.7221528639964896,NA,S,0
SinmeB_0031,0.07423684287428771,NA,NA,E,0
SinmeB_0032,-0.24328610340927154,0.2737324395177133,M00359,J,0
SinmeB_0033,0.39576051423625547,0.01204068170875777,NA,T,0
SinmeB_0034,0.35378453351746464,0.049649356498407834,NA,O,0
SinmeB_0035,0.3672365881533199,0.12677834567874693,NA,O,0
SinmeB_0036,0.3755063607043814,0.2456507731346067,NA,K,0
SinmeB_0037,0.08126992131364894,0.8112689000596793,M00089,I,0
SinmeB_0038,-0.3497383757649428,0.026463549336043102,NA,J,0
SinmeB_0039,0.13654946045401242,0.4853455889974224,NA,T,0
SinmeB_0040,0.184235613742446,0.4271452409361413,M00124,J,0
SinmeB_0041,1.0814820659736395,9.139916896662159e-11,NA,S,1
SinmeB_0042,-0.3942282778186372,0.08823709555915274,NA,M,0
SinmeB_0043,-0.16205642889000282,0.4284316353831104,NA,K,0
SinmeB_0044,1.3371234563204524,4.201931298473808e-14,M00034,H,1
SinmeB_0045,0.4700859276797132,0.062151114644953626,M00060,J,0
SinmeB_0046,-1.0561759947925842,2.4676546238883184e-08,NA,S,2
