"","grp","categories","q","k","n","m","fraction.pop","fraction.obs","exp.q","log2.fold.enrichment","p.value","adj.p.value"
"1",0,"C",327,5398,5533,337,0.0574105621805792,0.0605779918488329,309.902214650767,0.0774775708467871,6.68537450327647e-05,0.000425432922935775
"2",0,"E",490,5398,5375,495,0.0843270868824531,0.0907743608743979,455.197614991482,0.106288750566162,3.00976083702749e-13,5.26708146479811e-12
"3",0,"EGP",52,5398,5818,52,0.00885860306643952,0.00963319748054835,47.8187393526405,0.120935526530563,0.0125399996309757,0.0461999986404367
"4",0,"F",109,5398,5761,109,0.0185689948892675,0.020192663949611,100.235434412266,0.120935526530563,9.84590963267711e-05,0.000574344728572831
"5",0,"G",406,5398,5463,407,0.069335604770017,0.0752130418673583,374.273594548552,0.117386459449492,1.65098325064708e-14,3.85229425150984e-13
"6",0,"H",131,5398,5738,132,0.0224872231686542,0.0242682474990737,121.386030664395,0.10996440870956,0.000176151797343276,0.000948509678002254
"7",0,"I",148,5398,5722,148,0.0252129471890971,0.0274175620600222,136.099488926746,0.120935526530563,3.47055883700837e-06,2.42939118590586e-05
"8",0,"IQ",85,5398,5785,85,0.0144804088586031,0.0157465728047425,78.1652470187394,0.120935526530563,0.000762477345459907,0.00355822761214623
"9",0,"J",202,5398,5668,202,0.034412265758092,0.0374212671359763,185.757410562181,0.120935526530563,3.24779746770161e-08,2.84182278423891e-07
"10",0,"K",512,5398,5358,512,0.0872231686541738,0.0948499444238607,470.83066439523,0.120935526530563,2.87841122822003e-20,1.00744392987701e-18
"11",0,"L",254,5398,5616,254,0.0432708688245315,0.0470544646165246,233.576149914821,0.120935526530563,3.45735816508801e-10,3.45735816508801e-09
"12",0,"M",275,5398,5595,275,0.0468483816013629,0.0509447943682846,252.887563884157,0.120935526530563,5.45257362549131e-11,6.36133589640653e-10
"13",0,"O",148,5398,5718,152,0.0258943781942078,0.0274175620600222,139.777853492334,0.0824613787159271,0.00467860398750311,0.0192648399485422
"14",0,"P",349,5398,5520,350,0.0596252129471891,0.0646535753982957,321.856899488927,0.116807640907886,2.3646602583772e-12,3.31052436172808e-11
"15",0,"Q",92,5398,5778,92,0.0156729131175468,0.0170433493886625,84.6023850085179,0.120935526530563,0.000420089616455417,0.00210044808227708
"16",0,"S",1118,5398,4746,1124,0.191482112436116,0.20711374583179,1033.62044293015,0.113213679152827,1.1547299022338e-36,8.08310931563663e-35
"17",0,"T",196,5398,5674,196,0.0333901192504259,0.0363097443497592,180.239863713799,0.120935526530563,5.47024886298714e-08,4.25463800454556e-07
"18",0,"U",60,5398,5810,60,0.010221465076661,0.0111152278621712,55.175468483816,0.120935526530563,0.006370224261529,0.0247730943503906
"19",0,"V",65,5398,5805,65,0.0110732538330494,0.0120414968506854,59.7734241908007,0.120935526530563,0.00416966127263646,0.0182422680677845
