"","grp","categories","q","k","n","m","fraction.pop","fraction.obs","exp.q","log2.fold.enrichment","p.value","adj.p.value"
"1",0,"C",335,5395,5533,337,0.0574105621805792,0.06209453197405,309.729982964225,0.113150047785312,9.78682963433116e-11,1.14179679067197e-09
"2",0,"E",492,5395,5375,495,0.0843270868824531,0.0911955514365153,454.944633730835,0.112967333994303,1.99693258167721e-15,4.65950935724683e-14
"3",0,"F",108,5395,5761,109,0.0185689948892675,0.0200185356811863,100.179727427598,0.108440721008578,0.000999564006354211,0.00466463202965298
"4",0,"G",405,5395,5463,407,0.069335604770017,0.0750695088044486,374.065587734242,0.114630657127776,2.60100985157982e-13,4.55176724026469e-12
"5",0,"H",132,5395,5738,132,0.0224872231686542,0.0244670991658943,121.318568994889,0.121737543622035,1.27475851784967e-05,7.43609135412307e-05
"6",0,"I",148,5395,5722,148,0.0252129471890971,0.0274328081556997,136.023850085179,0.121737543622035,3.19280117592886e-06,2.03178256650019e-05
"7",0,"J",202,5395,5668,202,0.034412265758092,0.0374420759962929,185.654173764906,0.121737543622035,2.89659875153574e-08,2.53452390759377e-07
"8",0,"K",510,5395,5358,512,0.0872231686541738,0.0945319740500463,470.568994889267,0.116090980480893,2.74342839387624e-17,9.60199937856683e-16
"9",0,"L",254,5395,5616,254,0.0432708688245315,0.0470806302131603,233.446337308348,0.121737543622035,2.99182846520212e-10,2.99182846520212e-09
"10",0,"M",272,5395,5595,275,0.0468483816013629,0.0504170528266914,252.747018739353,0.105912576460353,1.42948609540512e-07,1.00064026678359e-06
"11",0,"O",151,5395,5718,152,0.0258943781942078,0.0279888785912882,139.700170357751,0.112214769503529,3.33356223460582e-05,0.000179499504940314
"12",0,"P",348,5395,5520,350,0.0596252129471891,0.0645041705282669,321.678023850085,0.113469927638435,3.29129896664184e-11,4.60781855329858e-10
"13",0,"Q",92,5395,5778,92,0.0156729131175468,0.0170528266913809,84.5553662691652,0.121737543622035,0.00039897056614828,0.0019948528307414
"14",0,"S",1114,5395,4746,1124,0.191482112436116,0.206487488415199,1033.04599659285,0.108844740741141,2.71956166168638e-32,1.90369316318047e-30
"15",0,"T",196,5395,5674,196,0.0333901192504259,0.0363299351251158,180.139693356048,0.121737543622035,4.89565032543849e-08,3.8077280308966e-07
"16",0,"U",60,5395,5810,60,0.010221465076661,0.0111214087117702,55.144804088586,0.121737543622035,0.0061601186284516,0.0269505189994757
"17",1,"V",4,26,5805,65,0.0110732538330494,0.153846153846154,0.287904599659284,3.79633725682787,0.0001704985035933,0.0020459820431196
