"","grp","categories","q","k","n","m","fraction.pop","fraction.obs","exp.q","log2.fold.enrichment","p.value","adj.p.value"
"1",0,"C",289,5080,5784,325,0.0532001964314945,0.0568897637795276,270.256997871992,0.096737518005579,0.00186326911378637,0.0100329875357727
"2",0,"E",475,5080,5619,490,0.080209526927484,0.093503937007874,407.464396791619,0.221253507636457,2.11696526928916e-23,7.40937844251205e-22
"3",0,"EG",31,5080,6078,31,0.00507448027500409,0.00610236220472441,25.7783597970208,0.266107743420717,0.00323579130374451,0.0161789565187225
"4",0,"EGP",47,5080,6060,49,0.0080209526927484,0.00925196850393701,40.7464396791619,0.205986750983146,0.00686922214549401,0.0320563700123054
"5",0,"F",106,5080,5999,110,0.0180062203306597,0.0208661417322835,91.4715992797512,0.212668484459257,1.60352062749284e-05,0.000140308054905624
"6",0,"G",375,5080,5717,392,0.0641676215419872,0.0738188976377953,325.971517433295,0.202144684688752,4.51625105446609e-15,7.90343934531566e-14
"7",0,"H",117,5080,5983,126,0.0206253069242102,0.0230314960629921,104.776559174988,0.159192539504205,0.00107754571465642,0.00628568333549576
"8",0,"I",134,5080,5968,141,0.0230807006056638,0.0263779527559055,117.249959076772,0.192645581479696,1.49909629915317e-05,0.000140308054905624
"9",0,"IQ",84,5080,6022,87,0.0142412833524308,0.0165354330708661,72.3457194303487,0.215481670350749,0.000104304546259013,0.000730131823813089
"10",0,"K",506,5080,5576,533,0.087248322147651,0.0996062992125984,443.221476510067,0.191109595355851,8.41100147717409e-18,1.96256701134062e-16
"11",0,"L",246,5080,5854,255,0.0417416925847111,0.0484251968503937,212.047798330332,0.214268811901099,1.41251894868455e-11,1.97752652815837e-10
"12",0,"M",258,5080,5833,276,0.0451792437387461,0.0507874015748032,229.51055819283,0.168810542065802,1.78817510892911e-07,2.08620429375063e-06
"13",0,"O",138,5080,5956,153,0.0250450155508266,0.0271653543307087,127.228678998199,0.117244357506234,0.00902637810444016,0.0394904042069257
"14",0,"P",299,5080,5778,331,0.054182353904076,0.0588582677165354,275.246357832706,0.119422010811604,9.77096095865198e-05,0.000730131823813089
"15",0,"Q",83,5080,6019,90,0.0147323620887216,0.0163385826771654,74.8403994107055,0.149294078437967,0.00995056134228937,0.0409728996447209
"16",0,"S",1102,5080,4943,1166,0.190865935504993,0.216929133858268,969.598952365363,0.184664178791378,2.9586564374603e-37,2.07105950622221e-35
"17",0,"T",159,5080,5937,172,0.0281551808806679,0.0312992125984252,143.028318873793,0.152725944002975,0.000259240748295529,0.00164971385278973
"18",0,"U",67,5080,6037,72,0.0117858896709772,0.0131889763779528,59.8723195285644,0.162271932436177,0.0117838191632321,0.0458259634125694
"19",1,"G",4,198,5717,392,0.0641676215419872,0.0202020202020202,12.7051890653135,-1.66734593911457,0.00335942587254127,0.0279952156045106
"20",1,"J",37,198,5907,202,0.0330659682435751,0.186868686868687,6.54706171222786,2.49860578787779,1.3156591282234e-18,3.28914782055851e-17
"21",1,"O",14,198,5956,153,0.0250450155508266,0.0707070707070707,4.95891307906368,1.49733098436559,0.000403496664370558,0.00504370830463197
"22",1,"P",3,198,5778,331,0.054182353904076,0.0151515151515152,10.728106073007,-1.83836100108543,0.00463120813133921,0.0289450508208701
"23",1,"T",12,198,5937,172,0.0281551808806679,0.0606060606060606,5.57472581437224,1.10606165101969,0.00970131366503401,0.04850656832517
