"","grp","categories","q","k","n","m","fraction.pop","fraction.obs","exp.q","log2.fold.enrichment","p.value","adj.p.value"
"1",0,"C",317,5361,5784,325,0.0532001964314945,0.0591307591867189,285.206253069242,0.152477227541189,8.0904178894864e-11,7.95087053172013e-10
"2",0,"D",54,5361,6055,54,0.00883941725323294,0.0100727476217124,47.3881158945818,0.188434105317598,0.000836764785791423,0.00330057221062172
"3",0,"E",486,5361,5619,490,0.080209526927484,0.0906547285954113,430.003273858242,0.176608669920809,1.21275556660948e-23,2.87018817430911e-22
"4",0,"EP",41,5361,6068,41,0.00671140939597315,0.0076478268979668,35.9798657718121,0.188434105317598,0.00463586397737377,0.0164573171196769
"5",0,"F",110,5361,5999,110,0.0180062203306597,0.0205185599701548,96.5313471926666,0.188434105317598,5.01290034396423e-07,3.5591592442146e-06
"6",0,"G",386,5361,5717,392,0.0641676215419872,0.0720014922589069,344.002619086594,0.166181298470471,5.68649836213746e-16,1.0093534592794e-14
"7",0,"H",125,5361,5983,126,0.0206253069242102,0.0233165454206305,110.572270420691,0.176938466479769,1.12775141914646e-06,7.27912279630894e-06
"8",0,"I",139,5361,5968,141,0.0230807006056638,0.0259279985077411,123.735635946963,0.167823825642312,1.78472138954657e-06,1.05596015548172e-05
"9",0,"IQ",87,5361,6022,87,0.0142412833524308,0.0162283156127588,76.3475200523817,0.188434105317598,1.06536433887304e-05,5.40291914714185e-05
"10",0,"J",196,5361,5907,202,0.0330659682435751,0.0365603432195486,177.266655753806,0.144932466681012,2.15625583396975e-06,1.17764741701425e-05
"11",0,"K",531,5361,5576,533,0.087248322147651,0.0990486849468383,467.738255033557,0.183010433362576,6.41468718748306e-29,2.27721395155648e-27
"12",0,"L",254,5361,5854,255,0.0417416925847111,0.0473792202947211,223.777213946636,0.182765355230906,6.13686229544723e-14,8.71434445953506e-13
"13",0,"M",271,5361,5833,276,0.0451792437387461,0.0505502704719269,242.205925683418,0.162058689893301,8.95872735968465e-11,7.95087053172013e-10
"14",0,"N",39,5361,6070,39,0.00638402357177934,0.00727476217123671,34.2247503683091,0.188434105317598,0.00603070915491497,0.0203895404761411
"15",0,"O",145,5361,5956,153,0.0250450155508266,0.0270471926879314,134.266328367982,0.110955352639881,0.00267400929019795,0.00999235050547656
"16",0,"P",326,5361,5778,331,0.054182353904076,0.0608095504570043,290.471599279751,0.166474852741458,1.17036544073386e-13,1.38493243820174e-12
"17",0,"Q",88,5361,6019,90,0.0147323620887216,0.0164148479761239,78.9801931576363,0.156012627625221,0.00067457832858048,0.0028173565487773
"18",0,"S",1152,5361,4943,1166,0.190865935504993,0.214885282596531,1023.23228024227,0.171007033559414,3.02250658801608e-53,2.14597967749142e-51
"19",0,"T",172,5361,5937,172,0.0281551808806679,0.0320835664987875,150.93992470126,0.188434105317598,1.24325386914257e-10,9.80789163434695e-10
"20",0,"U",72,5361,6037,72,0.0117858896709772,0.0134303301622832,63.184154526109,0.188434105317598,7.76752020548007e-05,0.00036766262305939
"21",0,"V",58,5361,6051,58,0.00949418890162056,0.0108188770751725,50.8983467015878,0.188434105317598,0.000493721994450554,0.00219089135037433
"22",1,"O",8,41,5956,153,0.0250450155508266,0.195121951219512,1.02684563758389,2.96178067776951,6.10696914336485e-06,8.54975680071078e-05
