"","grp","categories","q","k","n","m","fraction.pop","fraction.obs","exp.q","log2.fold.enrichment","p.value","adj.p.value"
"1",0,"E",407,4389,5500,495,0.0825688073394495,0.0927318295739348,362.394495412844,0.167467752741218,6.20058235107368e-07,1.37885375017355e-05
"2",0,"F",92,4389,5886,109,0.0181818181818182,0.0209614946457052,79.8,0.205245114722029,0.00378575910735692,0.0268788896622341
"3",0,"G",332,4389,5571,424,0.0707256046705588,0.075643654591023,310.414678899083,0.0969864602256686,0.00736598802366694,0.0475441045163957
"4",0,"I",128,4389,5845,150,0.0250208507089241,0.0291638186375028,109.816513761468,0.221048792946062,0.000247992762502595,0.00293458102294737
"5",0,"IQ",73,4389,5913,82,0.0136780650542118,0.0166324903167008,60.0330275229358,0.282140037703876,0.000367421707086492,0.00372670588616299
"6",0,"J",167,4389,5792,203,0.033861551292744,0.038049669628617,148.618348623853,0.168235858730819,0.0014045528135827,0.0110803610849302
"7",0,"K",453,4389,5468,527,0.08790658882402,0.103212576896787,385.822018348624,0.231575571850963,1.65851316102196e-13,1.17754434432559e-11
"8",0,"L",167,4389,5796,199,0.0331943286071726,0.038049669628617,145.689908256881,0.196947155372346,0.000195646346353221,0.00277817811821574
"9",0,"M",240,4389,5713,282,0.0470391993327773,0.0546821599453178,206.45504587156,0.217206726651668,7.76819014182279e-07,1.37885375017355e-05
"10",0,"S",917,4389,4832,1163,0.193994995829858,0.208931419457735,851.444036697248,0.107010025563779,5.14355526482699e-07,1.37885375017355e-05
"11",0,"T",154,4389,5811,184,0.0306922435362802,0.0350877192982456,134.708256880734,0.193092068079831,0.000450359250661659,0.00399693834962223
"12",1,"G",11,468,5571,424,0.0707256046705588,0.0235042735042735,33.0995829858215,-1.58930951720772,2.36131489102372e-06,4.25036680384269e-05
"13",1,"H",22,468,5863,132,0.0220183486238532,0.047008547008547,10.3045871559633,1.09421681799703,0.000496514171763676,0.00357490203669847
"14",1,"J",30,468,5792,203,0.033861551292744,0.0641025641025641,15.8472060050042,0.920733997141524,0.000448403286585893,0.00357490203669847
"15",1,"O",32,468,5844,151,0.0251876563803169,0.0683760683760684,11.7878231859883,1.4407745793931,1.18736758087135e-07,4.27452329113688e-06
"16",1,"V",13,468,5937,58,0.00967472894078399,0.0277777777777778,4.52777314428691,1.5216380417317,0.00040906119698257,0.00357490203669847
