"","grp","categories","q","k","n","m","fraction.pop","fraction.obs","exp.q","log2.fold.enrichment","p.value","adj.p.value"
"1",0,"E",452,4825,5500,495,0.0825688073394495,0.0936787564766839,398.394495412844,0.182125058706997,4.27558355602925e-12,1.53921008017053e-10
"2",0,"F",104,4825,5886,109,0.0181818181818182,0.0215544041450777,87.7272727272727,0.245486204622947,5.51198462007956e-06,6.61438154409548e-05
"3",0,"G",367,4825,5571,424,0.0707256046705588,0.0760621761658031,341.251042535446,0.104946609538794,0.000431485130584564,0.00282426630928078
"4",0,"H",119,4825,5863,132,0.0220183486238532,0.0246632124352332,106.238532110092,0.163654455208271,0.00182260197635434,0.010935611858126
"5",0,"I",137,4825,5845,150,0.0250208507089241,0.0283937823834197,120.725604670559,0.182444203723427,0.000180772336504072,0.00144617869203258
"6",0,"IQ",78,4825,5913,82,0.0136780650542118,0.0161658031088083,65.9966638865721,0.241081025502946,0.000129112020392372,0.00116200818353135
"7",0,"J",182,4825,5792,203,0.033861551292744,0.037720207253886,163.38198498749,0.155689534272301,0.000250615131860875,0.0018044289493983
"8",0,"K",498,4825,5468,527,0.08790658882402,0.103212435233161,424.149291075897,0.231573591689647,7.4056234412969e-22,5.33204887773377e-20
"9",0,"L",187,4825,5796,199,0.0331943286071726,0.0387564766839378,160.162635529608,0.223500650602769,3.69658819739768e-08,6.65385875531582e-07
"10",0,"M",259,4825,5713,282,0.0470391993327773,0.0536787564766839,226.964136780651,0.190487746546541,5.52383327479361e-08,7.9543199157028e-07
"11",0,"S",1015,4825,4832,1163,0.193994995829858,0.210362694300518,936.025854879066,0.116859441858101,8.80961455784672e-12,2.11430749388321e-10
"12",0,"T",167,4825,5811,184,0.0306922435362802,0.0346113989637306,148.090075062552,0.17337314767582,8.81974512221305e-05,0.000907173783999057
"13",0,"V",54,4825,5937,58,0.00967472894078399,0.0111917098445596,46.6805671392827,0.210137318294677,0.00666119464841784,0.0368927703604681
"14",1,"EGP",8,265,5943,52,0.00867389491242702,0.030188679245283,2.29858215179316,1.79925577070993,0.00181541504032859,0.0140694665625466
"15",1,"G",6,265,5571,424,0.0707256046705588,0.0226415094339623,18.7422852376981,-1.64326246499102,0.000358641991997248,0.00555895087595734
"16",1,"J",20,265,5792,203,0.033861551292744,0.0754716981132075,8.97331109257715,1.15628766655321,0.000588564608525747,0.00608183428809939
"17",1,"O",25,265,5844,151,0.0251876563803169,0.0943396226415094,6.67472894078399,1.90514693930067,7.09093745327879e-09,2.19819061051643e-07
