"","grp","categories","q","k","n","m","fraction.pop","fraction.obs","exp.q","log2.fold.enrichment","p.value","adj.p.value"
"1",0,"C",302,5241,5784,325,0.0532001964314945,0.0576225911085671,278.822229497463,0.115202962851591,3.22709487603656e-05,0.000179283050240217
"2",0,"D",52,5241,6055,54,0.00883941725323294,0.00992177065445526,46.3273858241938,0.166646347419953,0.0122552242928508,0.0476592055833086
"3",0,"E",479,5241,5619,490,0.080209526927484,0.0913947719900782,420.378130626944,0.188338038175939,5.43578915818934e-21,1.90252620536627e-19
"4",0,"EG",31,5241,6078,31,0.00507448027500409,0.00591490173630986,26.5953511212964,0.22109413144233,0.00853631442690213,0.0351495299931264
"5",0,"F",110,5241,5999,110,0.0180062203306597,0.0209883609998092,94.3706007529874,0.22109413144233,4.04885792307579e-08,3.54275068269131e-07
"6",0,"G",383,5241,5717,392,0.0641676215419872,0.0730776569356993,336.302504501555,0.187584869252079,1.04140633236518e-16,1.82246108163907e-15
"7",0,"H",122,5241,5983,126,0.0206253069242102,0.0232780003816066,108.097233589786,0.174551545505299,3.32954236160402e-05,0.000179283050240217
"8",0,"I",137,5241,5968,141,0.0230807006056638,0.0261400496088533,120.965951874284,0.179574862004063,4.92787206097429e-06,3.44951044268201e-05
"9",0,"IQ",86,5241,6022,87,0.0142412833524308,0.0164090822362145,74.63856605009,0.204415390295699,2.2888546707891e-05,0.000145654388141125
"10",0,"J",191,5241,5907,202,0.0330659682435751,0.0364434268269414,173.298739564577,0.140311476726284,4.8080424040279e-05,0.000240402120201395
"11",0,"K",515,5241,5576,533,0.087248322147651,0.0982636901354703,457.268456375839,0.171531030753734,4.71586258222271e-18,1.10036793585197e-16
"12",0,"L",249,5241,5854,255,0.0417416925847111,0.0475100171722954,218.768210836471,0.186742626651553,4.89316398408077e-11,5.7086913147609e-10
"13",0,"M",270,5241,5833,276,0.0451792437387461,0.0515168860904408,236.784416434768,0.189385271714992,2.73521382302212e-12,3.82929935223097e-11
"14",0,"P",313,5241,5778,331,0.054182353904076,0.059721427208548,283.969716811262,0.14042557156773,1.50625055482554e-07,1.17152820930875e-06
"15",0,"S",1129,5241,4943,1166,0.190865935504993,0.215416905170769,1000.32836798167,0.174571829014834,9.65535160943185e-43,6.75874612660229e-41
"16",0,"T",169,5241,5937,172,0.0281551808806679,0.0322457546269796,147.56130299558,0.195708813022416,1.09854479367128e-08,1.09854479367128e-07
"17",0,"U",71,5241,6037,72,0.0117858896709772,0.0135470330089678,61.7698477655917,0.200916249504699,0.000197015183439508,0.000919404189384369
"18",0,"V",56,5241,6051,58,0.00949418890162056,0.010684983781721,49.7590440333934,0.170468058372362,0.00751573928977073,0.0328813593927469
"19",2,"C",19,103,5784,325,0.0532001964314945,0.184466019417476,5.47962023244394,1.7938516034248,1.50205700123389e-06,3.30452540271456e-05
"20",2,"CP",2,103,6102,7,0.00114585038467834,0.0194174757281553,0.118022589621869,4.08286507583942,0.00559467074936805,0.0410275854953657
"21",2,"P",15,103,5778,331,0.054182353904076,0.145631067961165,5.58078245211982,1.42642318669833,0.000388408991141069,0.00427249890255176
