"","grp","categories","q","k","n","m","fraction.pop","fraction.obs","exp.q","log2.fold.enrichment","p.value","adj.p.value"
"1",0,"C",329,5307,5651,344,0.0573811509591326,0.0619935933672508,304.521768140117,0.111542223923115,1.69560088560353e-06,1.22083263763454e-05
"2",0,"E",476,5307,5500,495,0.0825688073394495,0.0896928584887884,438.192660550459,0.119396253230943,3.17785724477948e-10,4.57611443248244e-09
"3",0,"F",107,5307,5886,109,0.0181818181818182,0.0201620501224797,96.4909090909091,0.149145866514192,0.000176452394638196,0.000907469458139291
"4",0,"G",418,5307,5571,424,0.0707256046705588,0.0787638967401545,375.340783986656,0.155301882407655,3.06167365760472e-16,7.34801677825134e-15
"5",0,"H",132,5307,5863,132,0.0220183486238532,0.0248728094968909,116.851376146789,0.175863204889971,8.50004152439164e-08,7.65003737195248e-07
"6",0,"I",147,5307,5845,150,0.0250208507089241,0.0276992651215376,132.78565471226,0.146716859230455,1.36260079220315e-05,8.17560475321889e-05
"7",0,"IQ",81,5307,5913,82,0.0136780650542118,0.0152628603730921,72.5894912427023,0.158161203156512,0.000500179273974222,0.00240086051507627
"8",0,"J",201,5307,5792,203,0.033861551292744,0.0378745053702657,179.703252710592,0.161578978883724,4.55062015709784e-09,5.46074418851741e-08
"9",0,"K",516,5307,5468,527,0.08790658882402,0.0972300734878462,466.520266889074,0.145431308676011,5.93092543040745e-17,2.13513315494668e-15
"10",0,"L",196,5307,5796,199,0.0331943286071726,0.0369323534953835,176.162301918265,0.153948428461531,6.6524283338557e-08,6.842497714823e-07
"11",0,"M",270,5307,5713,282,0.0470391993327773,0.0508762012436405,249.637030859049,0.113127449542009,1.14737773105873e-05,7.51010878511169e-05
"12",0,"O",147,5307,5844,151,0.0251876563803169,0.0276992651215376,133.670892410342,0.137130810401257,6.38444819688981e-05,0.000353600207827743
"13",0,"P",320,5307,5661,334,0.0557130942452043,0.0602977199924628,295.669391159299,0.114087007303281,1.30330262742034e-06,1.04264210193628e-05
"14",0,"Q",95,5307,5897,98,0.0163469557964971,0.0179008856227624,86.75329441201,0.131008969105711,0.00260178202169894,0.0117080190976452
"15",0,"S",1139,5307,4832,1163,0.193994995829858,0.214622197098172,1029.53144286906,0.145779855124865,7.30425522191686e-39,5.25906375978014e-37
"16",0,"T",184,5307,5811,184,0.0306922435362802,0.0346711889956661,162.883736447039,0.175863204889971,1.2513665836112e-10,2.25245985050016e-09
"17",0,"V",57,5307,5937,58,0.00967472894078399,0.0107405313736574,51.3437864887406,0.150772223927141,0.00705310725639689,0.0298719836741515
"18",2,"M",8,55,5713,282,0.0470391993327773,0.145454545454545,2.58715596330275,1.62863297237813,0.00384437836815466,0.0326772161293146
"19",2,"P",12,55,5661,334,0.0557130942452043,0.218181818181818,3.06422018348624,1.96944253302403,3.66399299086889e-05,0.000622878808447712
