"","grp","categories","q","k","n","m","fraction.pop","fraction.obs","exp.q","log2.fold.enrichment","p.value","adj.p.value"
"1",0,"E",452,4825,5500,495,0.0825688073394495,0.0936787564766839,398.394495412844,0.182125058706997,4.27558355602925e-12,1.53921008017053e-10
"2",0,"F",104,4825,5886,109,0.0181818181818182,0.0215544041450777,87.7272727272727,0.245486204622947,5.51198462007956e-06,6.61438154409548e-05
"3",0,"G",367,4825,5571,424,0.0707256046705588,0.0760621761658031,341.251042535446,0.104946609538794,0.000431485130584564,0.00282426630928078
"4",0,"H",119,4825,5863,132,0.0220183486238532,0.0246632124352332,106.238532110092,0.163654455208271,0.00182260197635434,0.010935611858126
"5",0,"I",137,4825,5845,150,0.0250208507089241,0.0283937823834197,120.725604670559,0.182444203723427,0.000180772336504072,0.00144617869203258
"6",0,"IQ",78,4825,5913,82,0.0136780650542118,0.0161658031088083,65.9966638865721,0.241081025502946,0.000129112020392372,0.00116200818353135
"7",0,"J",182,4825,5792,203,0.033861551292744,0.037720207253886,163.38198498749,0.155689534272301,0.000250615131860875,0.0018044289493983
"8",0,"K",498,4825,5468,527,0.08790658882402,0.103212435233161,424.149291075897,0.231573591689647,7.4056234412969e-22,5.33204887773377e-20
"9",0,"L",187,4825,5796,199,0.0331943286071726,0.0387564766839378,160.162635529608,0.223500650602769,3.69658819739768e-08,6.65385875531582e-07
"10",0,"M",259,4825,5713,282,0.0470391993327773,0.0536787564766839,226.964136780651,0.190487746546541,5.52383327479361e-08,7.9543199157028e-07
"11",0,"S",1015,4825,4832,1163,0.193994995829858,0.210362694300518,936.025854879066,0.116859441858101,8.80961455784672e-12,2.11430749388321e-10
"12",0,"T",167,4825,5811,184,0.0306922435362802,0.0346113989637306,148.090075062552,0.17337314767582,8.81974512221305e-05,0.000907173783999057
"13",0,"V",54,4825,5937,58,0.00967472894078399,0.0111917098445596,46.6805671392827,0.210137318294677,0.00666119464841784,0.0368927703604681
"14",2,"C",44,355,5651,344,0.0573811509591326,0.123943661971831,20.3703085904921,1.11103568784474,6.49839270398788e-07,9.74758905598182e-06
"15",2,"F",1,355,5886,109,0.0181818181818182,0.0028169014084507,6.45454545454545,-2.69031550086738,0.0096834151345878,0.0415003505768049
"16",2,"G",51,355,5571,424,0.0707256046705588,0.143661971830986,25.1075896580484,1.02237371131784,5.3536912052045e-07,9.74758905598182e-06
"17",2,"J",1,355,5792,203,0.033861551292744,0.0028169014084507,12.0208507089241,-3.58746709327563,4.74912046169995e-05,0.000284947227701997
"18",2,"K",12,355,5468,527,0.08790658882402,0.0338028169014084,31.2068390325271,-1.37882782700652,2.94158927633212e-05,0.000220619195724909
"19",2,"P",42,355,5661,334,0.0557130942452043,0.11830985915493,19.7781484570475,1.08648195421425,1.88862925377609e-06,1.88862925377609e-05
"20",2,"S",97,355,4832,1163,0.193994995829858,0.273239436619718,68.8682235195997,0.494146284623451,0.000115737961307222,0.000578689806536111
