"","grp","categories","q","k","n","m","fraction.pop","fraction.obs","exp.q","log2.fold.enrichment","p.value","adj.p.value"
"1",0,"M00001",21,1711,6088,21,0.00343755115403503,0.0122735242548217,5.88165002455394,1.83609648059083,2.26102826694169e-12,3.30361352336481e-11
"2",0,"M00004",14,1711,6095,14,0.00229170076935669,0.00818234950321449,3.92110001636929,1.83609648059083,1.75886848539017e-08,1.92742671524006e-07
"3",0,"M00008",4,1711,6105,4,0.000654771648387625,0.00233781414377557,1.12031429039123,1.83609648059083,0.00613793345297098,0.0122293674100861
"4",0,"M00009",21,1711,6088,21,0.00343755115403503,0.0122735242548217,5.88165002455394,1.83609648059083,2.26102826694169e-12,3.30361352336481e-11
"5",0,"M00013",5,1711,6103,6,0.000982157472581437,0.00292226767971946,1.68047143558684,1.57306207475704,0.00789894484797491,0.0156197180076496
"6",0,"M00014",11,1711,6097,12,0.00196431494516287,0.00642898889538282,3.36094287117368,1.71056559850697,7.26138971746593e-06,4.44126859463614e-05
"7",0,"M00015",6,1711,6103,6,0.000982157472581437,0.00350672121566335,1.68047143558684,1.83609648059083,0.00047966113442889,0.0015574182512938
"8",0,"M00016",27,1711,6082,27,0.00441970862661647,0.0157802454704851,7.56212146014078,1.83609648059083,1.02799226874176e-15,3.00402185198982e-14
"9",0,"M00017",11,1711,6098,11,0.00180062203306597,0.00642898889538282,3.08086429857587,1.83609648059083,8.12834174629327e-07,5.6256681033556e-06
"10",0,"M00019",11,1711,6098,11,0.00180062203306597,0.00642898889538282,3.08086429857587,1.83609648059083,8.12834174629327e-07,5.6256681033556e-06
"11",0,"M00020",6,1711,6103,6,0.000982157472581437,0.00350672121566335,1.68047143558684,1.83609648059083,0.00047966113442889,0.0015574182512938
"12",0,"M00021",4,1711,6105,4,0.000654771648387625,0.00233781414377557,1.12031429039123,1.83609648059083,0.00613793345297098,0.0122293674100861
"13",0,"M00022",14,1711,6095,14,0.00229170076935669,0.00818234950321449,3.92110001636929,1.83609648059083,1.75886848539017e-08,1.92742671524006e-07
"14",0,"M00023",9,1711,6100,9,0.00147323620887216,0.00526008182349503,2.52070715338026,1.83609648059083,1.04454355492456e-05,5.28297990279151e-05
"15",0,"M00024",3,1711,6106,3,0.000491078736290719,0.00175336060783168,0.84023571779342,1.83609648059083,0.0219427527305859,0.0343508569532387
"16",0,"M00026",15,1711,6094,15,0.00245539368145359,0.00876680303915839,4.2011785889671,1.83609648059083,4.89712849828898e-09,6.13307045261905e-08
"17",0,"M00027",13,1711,6096,13,0.00212800785725978,0.0075978959672706,3.64102144377149,1.83609648059083,6.31452431504035e-08,5.18974967142379e-07
"18",0,"M00028",5,1711,6104,5,0.000818464560484531,0.00292226767971946,1.40039286298903,1.83609648059083,0.00171620842001989,0.00446893875708151
"19",0,"M00029",6,1711,6103,6,0.000982157472581437,0.00350672121566335,1.68047143558684,1.83609648059083,0.00047966113442889,0.0015574182512938
"20",0,"M00032",6,1711,6103,6,0.000982157472581437,0.00350672121566335,1.68047143558684,1.83609648059083,0.00047966113442889,0.0015574182512938
"21",0,"M00034",4,1711,6105,4,0.000654771648387625,0.00233781414377557,1.12031429039123,1.83609648059083,0.00613793345297098,0.0122293674100861
"22",0,"M00036",9,1711,6100,9,0.00147323620887216,0.00526008182349503,2.52070715338026,1.83609648059083,1.04454355492456e-05,5.28297990279151e-05
"23",0,"M00044",5,1711,6104,5,0.000818464560484531,0.00292226767971946,1.40039286298903,1.83609648059083,0.00171620842001989,0.00446893875708151
"24",0,"M00045",8,1711,6101,8,0.00130954329677525,0.00467562828755114,2.24062858078245,1.83609648059083,3.74207881890472e-05,0.000158736569253539
"25",0,"M00046",4,1711,6105,4,0.000654771648387625,0.00233781414377557,1.12031429039123,1.83609648059083,0.00613793345297098,0.0122293674100861
"26",0,"M00048",13,1711,6096,13,0.00212800785725978,0.0075978959672706,3.64102144377149,1.83609648059083,6.31452431504035e-08,5.18974967142379e-07
"27",0,"M00049",4,1711,6105,4,0.000654771648387625,0.00233781414377557,1.12031429039123,1.83609648059083,0.00613793345297098,0.0122293674100861
"28",0,"M00050",5,1711,6104,5,0.000818464560484531,0.00292226767971946,1.40039286298903,1.83609648059083,0.00171620842001989,0.00446893875708151
"29",0,"M00051",9,1711,6100,9,0.00147323620887216,0.00526008182349503,2.52070715338026,1.83609648059083,1.04454355492456e-05,5.28297990279151e-05
"30",0,"M00053",6,1711,6103,6,0.000982157472581437,0.00350672121566335,1.68047143558684,1.83609648059083,0.00047966113442889,0.0015574182512938
"31",0,"M00060",11,1711,6098,11,0.00180062203306597,0.00642898889538282,3.08086429857587,1.83609648059083,8.12834174629327e-07,5.6256681033556e-06
"32",0,"M00061",8,1711,6101,8,0.00130954329677525,0.00467562828755114,2.24062858078245,1.83609648059083,3.74207881890472e-05,0.000158736569253539
"33",0,"M00063",4,1711,6105,4,0.000654771648387625,0.00233781414377557,1.12031429039123,1.83609648059083,0.00613793345297098,0.0122293674100861
"34",0,"M00079",3,1711,6106,3,0.000491078736290719,0.00175336060783168,0.84023571779342,1.83609648059083,0.0219427527305859,0.0343508569532387
"35",0,"M00082",8,1711,6101,8,0.00130954329677525,0.00467562828755114,2.24062858078245,1.83609648059083,3.74207881890472e-05,0.000158736569253539
"36",0,"M00083",9,1711,6100,9,0.00147323620887216,0.00526008182349503,2.52070715338026,1.83609648059083,1.04454355492456e-05,5.28297990279151e-05
"37",0,"M00086",3,1711,6106,3,0.000491078736290719,0.00175336060783168,0.84023571779342,1.83609648059083,0.0219427527305859,0.0343508569532387
"38",0,"M00088",5,1711,6104,5,0.000818464560484531,0.00292226767971946,1.40039286298903,1.83609648059083,0.00171620842001989,0.00446893875708151
"39",0,"M00089",5,1711,6104,5,0.000818464560484531,0.00292226767971946,1.40039286298903,1.83609648059083,0.00171620842001989,0.00446893875708151
"40",0,"M00093",6,1711,6103,6,0.000982157472581437,0.00350672121566335,1.68047143558684,1.83609648059083,0.00047966113442889,0.0015574182512938
"41",0,"M00096",7,1711,6102,7,0.00114585038467834,0.00409117475160725,1.96055000818465,1.83609648059083,0.000134003315451623,0.00052601301438473
"42",0,"M00114",6,1711,6103,6,0.000982157472581437,0.00350672121566335,1.68047143558684,1.83609648059083,0.00047966113442889,0.0015574182512938
"43",0,"M00115",6,1711,6103,6,0.000982157472581437,0.00350672121566335,1.68047143558684,1.83609648059083,0.00047966113442889,0.0015574182512938
"44",0,"M00117",7,1711,6102,7,0.00114585038467834,0.00409117475160725,1.96055000818465,1.83609648059083,0.000134003315451623,0.00052601301438473
"45",0,"M00118",3,1711,6106,3,0.000491078736290719,0.00175336060783168,0.84023571779342,1.83609648059083,0.0219427527305859,0.0343508569532387
"46",0,"M00119",3,1711,6106,3,0.000491078736290719,0.00175336060783168,0.84023571779342,1.83609648059083,0.0219427527305859,0.0343508569532387
"47",0,"M00120",8,1711,6101,8,0.00130954329677525,0.00467562828755114,2.24062858078245,1.83609648059083,3.74207881890472e-05,0.000158736569253539
"48",0,"M00121",17,1711,6092,17,0.00278277950564741,0.00993571011104617,4.76133573416271,1.83609648059083,3.79143331867736e-10,4.98573481406072e-09
"49",0,"M00122",9,1711,6100,9,0.00147323620887216,0.00526008182349503,2.52070715338026,1.83609648059083,1.04454355492456e-05,5.28297990279151e-05
"50",0,"M00123",6,1711,6103,6,0.000982157472581437,0.00350672121566335,1.68047143558684,1.83609648059083,0.00047966113442889,0.0015574182512938
