"","grp","categories","q","k","n","m","fraction.pop","fraction.obs","exp.q","log2.fold.enrichment","p.value","adj.p.value"
"1",0,"M00001",21,1413,5972,23,0.00383653044203503,0.0148619957537155,5.4210175145955,1.95375375468939,9.00430142746602e-12,2.06280359974676e-10
"2",0,"M00004",11,1413,5981,14,0.00233527939949958,0.00778485491861288,3.29974979149291,1.73707498454734,2.13626571980794e-05,0.000141668147734632
"3",0,"M00009",16,1413,5974,21,0.00350291909924937,0.0113234253361642,4.94962468723937,1.69268086518889,5.00780557560286e-07,5.73621365932691e-06
"4",0,"M00014",14,1413,5980,15,0.00250208507089241,0.00990799716914367,3.53544620517098,1.98546261441673,1.82223257267521e-08,2.70119181361266e-07
"5",0,"M00015",4,1413,5990,5,0.000834028356964137,0.00283085633404105,1.17848206839033,1.76307019308028,0.0124866911447194,0.0255366838034456
"6",0,"M00016",14,1413,5977,18,0.00300250208507089,0.00990799716914367,4.24253544620517,1.72242820858294,1.77887647698921e-06,1.79310748880512e-05
"7",0,"M00017",9,1413,5983,12,0.00200166805671393,0.00636942675159236,2.82835696413678,1.6699607886888,0.000238288094824518,0.00111201110918108
"8",0,"M00018",3,1413,5992,3,0.000500417014178482,0.00212314225053079,0.707089241034195,2.08499828796765,0.01307235004224,0.0255366838034456
"9",0,"M00019",10,1413,5983,12,0.00200166805671393,0.00707714083510262,2.82835696413678,1.82196388213385,2.11130372653014e-05,0.000141668147734632
"10",0,"M00020",5,1413,5989,6,0.00100083402835696,0.00353857041755131,1.41417848206839,1.82196388213385,0.00349046807718094,0.00977331061610663
"11",0,"M00022",13,1413,5982,13,0.00216847372810676,0.0092002830856334,3.06405337781485,2.08499828796765,6.6404625953308e-09,1.11559771601557e-07
"12",0,"M00023",6,1413,5986,9,0.00150125104253545,0.00424628450106157,2.12126772310259,1.50003578724649,0.0073048213051532,0.0200088583575935
"13",0,"M00024",3,1413,5992,3,0.000500417014178482,0.00212314225053079,0.707089241034195,2.08499828796765,0.01307235004224,0.0255366838034456
"14",0,"M00026",15,1413,5978,17,0.00283569641367806,0.0106157112526539,4.00683903252711,1.90442604232583,3.01504122991128e-08,3.79895194968821e-07
"15",0,"M00027",11,1413,5981,14,0.00233527939949958,0.00778485491861288,3.29974979149291,1.73707498454734,2.13626571980794e-05,0.000141668147734632
"16",0,"M00028",5,1413,5990,5,0.000834028356964137,0.00353857041755131,1.17848206839033,2.08499828796765,0.000723456878280756,0.00280478666656539
"17",0,"M00029",7,1413,5988,7,0.00116763969974979,0.00495399858457183,1.64987489574646,2.08499828796765,3.99510563316933e-05,0.000234131771990389
"18",0,"M00032",6,1413,5989,6,0.00100083402835696,0.00424628450106157,1.41417848206839,2.08499828796765,0.000170054638500718,0.000824110940426558
"19",0,"M00036",8,1413,5986,9,0.00150125104253545,0.0056617126680821,2.12126772310259,1.91507328652533,6.68144331250406e-05,0.000366026894511092
"20",0,"M00044",4,1413,5990,5,0.000834028356964137,0.00283085633404105,1.17848206839033,1.76307019308028,0.0124866911447194,0.0255366838034456
"21",0,"M00045",7,1413,5987,8,0.00133444537114262,0.00495399858457183,1.88557130942452,1.89235321002525,0.000253944072494474,0.00116352556852013
"22",0,"M00048",10,1413,5982,13,0.00216847372810676,0.00707714083510262,3.06405337781485,1.70648666471392,7.20763969198459e-05,0.000386452170719174
"23",0,"M00050",5,1413,5990,5,0.000834028356964137,0.00353857041755131,1.17848206839033,2.08499828796765,0.000723456878280756,0.00280478666656539
"24",0,"M00051",9,1413,5986,9,0.00150125104253545,0.00636942675159236,2.12126772310259,2.08499828796765,2.20139949207799e-06,2.05463952593946e-05
"25",0,"M00053",5,1413,5989,6,0.00100083402835696,0.00353857041755131,1.41417848206839,1.82196388213385,0.00349046807718094,0.00977331061610663
"26",0,"M00060",10,1413,5984,11,0.0018348623853211,0.00707714083510262,2.59266055045872,1.94749476421771,4.46927193707313e-06,3.75418842714143e-05
