"","grp","categories","q","k","n","m","fraction.pop","fraction.obs","exp.q","log2.fold.enrichment","p.value","adj.p.value"
"1",0,"M00001",19,1584,5847,23,0.00391822827938671,0.0119949494949495,6.20647359454855,1.61415372530438,3.93875785452617e-08,4.31550860582867e-07
"2",0,"M00004",12,1584,5856,14,0.00238500851788756,0.00757575757575758,3.7778534923339,1.66739574658136,7.45115048395159e-06,4.37282905060305e-05
"3",0,"M00008",4,1584,5866,4,0.000681431005110733,0.00252525252525253,1.0793867120954,1.88978816791781,0.00528769062221544,0.0121136185163481
"4",0,"M00009",19,1584,5849,21,0.00357751277683135,0.0119949494949495,5.66678023850085,1.74539825858263,1.67688236156309e-09,2.64108971946187e-08
"5",0,"M00013",6,1584,5864,6,0.0010221465076661,0.00378787878787879,1.6190800681431,1.88978816791781,0.00038343802490098,0.00138037688964353
"6",0,"M00014",16,1584,5853,17,0.00289608177172061,0.0101010101010101,4.58739352640545,1.80232532666747,9.5070472537533e-09,1.24892675445952e-07
"7",0,"M00015",5,1584,5864,6,0.0010221465076661,0.00315656565656566,1.6190800681431,1.62675376208401,0.0066282082898494,0.0143992111124315
"8",0,"M00016",18,1584,5851,19,0.00323679727427598,0.0113636363636364,5.12708688245315,1.81178565591653,7.60515271239827e-10,1.36892748823169e-08
"9",0,"M00017",10,1584,5859,11,0.00187393526405451,0.00631313131313131,2.96831345826235,1.75228464416787,1.66705110876579e-05,9.33548620908841e-05
"10",0,"M00018",3,1584,5867,3,0.000511073253833049,0.00189393939393939,0.80954003407155,1.88978816791781,0.0196223155474624,0.0334109697159494
"11",0,"M00019",12,1584,5857,13,0.00221465076660988,0.00757575757575758,3.50800681431005,1.77431095049787,1.41410299677913e-06,1.22880674202876e-05
"12",0,"M00020",6,1584,5864,6,0.0010221465076661,0.00378787878787879,1.6190800681431,1.88978816791781,0.00038343802490098,0.00138037688964353
"13",0,"M00021",4,1584,5866,4,0.000681431005110733,0.00252525252525253,1.0793867120954,1.88978816791781,0.00528769062221544,0.0121136185163481
"14",0,"M00022",12,1584,5857,13,0.00221465076660988,0.00757575757575758,3.50800681431005,1.77431095049787,1.41410299677913e-06,1.22880674202876e-05
"15",0,"M00023",9,1584,5861,9,0.00153321976149915,0.00568181818181818,2.42862010221465,1.88978816791781,7.46157337999726e-06,4.37282905060305e-05
"16",0,"M00026",17,1584,5853,17,0.00289608177172061,0.0107323232323232,4.58739352640545,1.88978816791781,2.00282817330179e-10,4.20593916393375e-09
"17",0,"M00027",14,1584,5856,14,0.00238500851788756,0.00883838383838384,3.7778534923339,1.8897881679178,1.04077229538293e-08,1.24892675445952e-07
"18",0,"M00028",5,1584,5865,5,0.000851788756388416,0.00315656565656566,1.34923339011925,1.88978816791781,0.00142423306905905,0.00398785259336534
"19",0,"M00029",6,1584,5863,7,0.00119250425894378,0.00378787878787879,1.88892674616695,1.66739574658136,0.00206496808089579,0.00559539738049182
"20",0,"M00032",6,1584,5864,6,0.0010221465076661,0.00378787878787879,1.6190800681431,1.88978816791781,0.00038343802490098,0.00138037688964353
"21",0,"M00034",4,1584,5866,4,0.000681431005110733,0.00252525252525253,1.0793867120954,1.88978816791781,0.00528769062221544,0.0121136185163481
"22",0,"M00036",9,1584,5861,9,0.00153321976149915,0.00568181818181818,2.42862010221465,1.88978816791781,7.46157337999726e-06,4.37282905060305e-05
"23",0,"M00044",4,1584,5865,5,0.000851788756388416,0.00252525252525253,1.34923339011925,1.56786007303044,0.020741520834841,0.0343872582261837
"24",0,"M00045",8,1584,5862,8,0.00136286201022147,0.00505050505050505,2.1587734241908,1.88978816791781,2.77536441329594e-05,0.000138655512799301
"25",0,"M00046",4,1584,5865,5,0.000851788756388416,0.00252525252525253,1.34923339011925,1.56786007303044,0.020741520834841,0.0343872582261837
"26",0,"M00048",12,1584,5857,13,0.00221465076660988,0.00757575757575758,3.50800681431005,1.77431095049787,1.41410299677913e-06,1.22880674202876e-05
"27",0,"M00049",4,1584,5866,4,0.000681431005110733,0.00252525252525253,1.0793867120954,1.88978816791781,0.00528769062221544,0.0121136185163481
"28",0,"M00050",4,1584,5865,5,0.000851788756388416,0.00252525252525253,1.34923339011925,1.56786007303044,0.020741520834841,0.0343872582261837
"29",0,"M00051",9,1584,5861,9,0.00153321976149915,0.00568181818181818,2.42862010221465,1.88978816791781,7.46157337999726e-06,4.37282905060305e-05
"30",0,"M00053",6,1584,5864,6,0.0010221465076661,0.00378787878787879,1.6190800681431,1.88978816791781,0.00038343802490098,0.00138037688964353
"31",0,"M00060",10,1584,5859,11,0.00187393526405451,0.00631313131313131,2.96831345826235,1.75228464416787,1.66705110876579e-05,9.33548620908841e-05
"32",0,"M00061",6,1584,5864,6,0.0010221465076661,0.00378787878787879,1.6190800681431,1.88978816791781,0.00038343802490098,0.00138037688964353
"33",0,"M00063",5,1584,5865,5,0.000851788756388416,0.00315656565656566,1.34923339011925,1.88978816791781,0.00142423306905905,0.00398785259336534
"34",0,"M00082",6,1584,5864,6,0.0010221465076661,0.00378787878787879,1.6190800681431,1.88978816791781,0.00038343802490098,0.00138037688964353
"35",0,"M00083",10,1584,5860,10,0.00170357751277683,0.00631313131313131,2.6984667802385,1.88978816791781,2.00511483936115e-06,1.62996432102906e-05
"36",0,"M00086",3,1584,5867,3,0.000511073253833049,0.00189393939393939,0.80954003407155,1.88978816791781,0.0196223155474624,0.0334109697159494
"37",0,"M00088",5,1584,5865,5,0.000851788756388416,0.00315656565656566,1.34923339011925,1.88978816791781,0.00142423306905905,0.00398785259336534
