"","grp","categories","q","k","n","m","fraction.pop","fraction.obs","exp.q","log2.fold.enrichment","p.value","adj.p.value"
"1",0,"M00001",21,1586,6088,21,0.00343755115403503,0.0132408575031526,5.45195613029956,1.94554346937627,4.55183333043757e-13,9.59678193833921e-12
"2",0,"M00004",14,1586,6095,14,0.00229170076935669,0.00882723833543506,3.6346374201997,1.94554346937627,6.05546244606183e-09,7.29539047073163e-08
"3",0,"M00008",4,1586,6105,4,0.000654771648387625,0.00252206809583859,1.03846783434277,1.94554346937627,0.00453017175703958,0.00988046081492254
"4",0,"M00009",18,1586,6088,21,0.00343755115403503,0.0113493064312736,5.45195613029956,1.72315104803982,1.53734313610977e-08,1.69107744972075e-07
"5",0,"M00014",12,1586,6097,12,0.00196431494516287,0.00756620428751576,3.11540350302832,1.94554346937627,9.09023305595548e-08,8.84549601214129e-07
"6",0,"M00015",6,1586,6103,6,0.000982157472581437,0.00378310214375788,1.55770175151416,1.94554346937627,0.000304055472244285,0.00102568045970405
"7",0,"M00016",27,1586,6082,27,0.00441970862661647,0.0170239596469105,7.00965788181372,1.94554346937627,1.30414972226702e-16,4.71356971047939e-15
"8",0,"M00017",11,1586,6098,11,0.00180062203306597,0.00693568726355612,2.85578654444263,1.94554346937627,3.51950737620423e-07,3.0704667799299e-06
"9",0,"M00019",11,1586,6098,11,0.00180062203306597,0.00693568726355612,2.85578654444263,1.94554346937627,3.51950737620423e-07,3.0704667799299e-06
"10",0,"M00020",6,1586,6103,6,0.000982157472581437,0.00378310214375788,1.55770175151416,1.94554346937627,0.000304055472244285,0.00102568045970405
"11",0,"M00021",4,1586,6105,4,0.000654771648387625,0.00252206809583859,1.03846783434277,1.94554346937627,0.00453017175703958,0.00988046081492254
"12",0,"M00022",14,1586,6095,14,0.00229170076935669,0.00882723833543506,3.6346374201997,1.94554346937627,6.05546244606183e-09,7.29539047073163e-08
"13",0,"M00023",8,1586,6100,9,0.00147323620887216,0.00504413619167718,2.33655262727124,1.77561846793395,0.000141176294186616,0.000585534466052687
"14",0,"M00024",3,1586,6106,3,0.000491078736290719,0.00189155107187894,0.77885087575708,1.94554346937627,0.017473928457665,0.0298709722958733
